representative	grouped_terms	genes
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process	ATP5MG;NDUFA13;NDUFA12;NDUFAB1;NDUFV1;NDUFC2;NDUFB10;STOML2;ATP5MC2;ATP5MJ;ATP5F1B;ATP5MF;NDUFA8;NDUFC1;NDUFA10;NDUFB8;NDUFS5;NDUFA7;NDUFA3;ATP5MC3;ATP5F1A;NDUFS3;ATP5PB;NDUFB6;NDUFS2;NDUFV2;NDUFB3;NDUFS4;NDUFA6;SDHA;ATP5ME;NDUFB9;SDHC;ATP5PD;NDUFA1;NDUFA9;ATP5F1C;NDUFV3;SDHD;NDUFB4;NDUFB1;NDUFB2;SDHB;NDUFS1;NDUFB5;ATP5PO;ATP5F1E;NDUFA2;ATP5MK;ATPSCKMT;NDUFA5;ATP5PF;PARP1;PPARA;COX11;DMAC2L;NDUFB11;PRKAG2;PINK1;NME5;ADK;NME6;CTPS2;AK3;AK4
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;respiratory chain complex;respirasome;mitochondrial respirasome;respiratory electron transport chain;electron transport chain	PINK1;UQCR11;CYC1;AFG1L;COX7A2L;UQCRHL;NDUFAB1;NDUFV1;COX5A;NDUFC2;COX8A;CYCS;NDUFB10;PARK7;COQ9;COX6B1;NDUFAF1;NDUFA8;UQCR10;NDUFC1;NDUFA10;NDUFB8;NDUFS5;NDUFA7;NDUFA3;UQCRB;UQCRH;NDUFA4;UQCRFS1;UQCRC2;COX7A2;NDUFS3;NDUFB6;UQCRC1;NDUFS2;NDUFV2;NDUFB3;NDUFS4;NDUFA6;COX4I1;SDHA;COX5B;UQCRQ;COX6C;NDUFB9;SDHC;NDUFA1;NDUFA9;NDUFV3;COX15;SDHD;DLD;NDUFB4;NDUFB1;COX7B;NDUFB2;COX7C;SDHB;NDUFS1;NDUFB5;NDUFA2;NDUFA5;DNAJC15;ISCU;NDUFA12;GHITM;COA6;HIGD2A;HIGD1A;NDUFA13;C2orf69;DMAC1;DMAC2;STMP1;FOXRED1;NNT;IMMP2L;GPD2;ETFDH;ETFB;SOD2;ETFA;ETFRF1;SLC25A12;PUM2;CYB5A;ME1;DEGS1;GSR;MAOB;THAP11;ALDH2;IDH3B;AKR1B1;COX11;ADH5;FDX1;QDPR;ME2
respirasome	respirasome;mitochondrial respirasome	UQCR11;CYC1;HIGD2A;COX7A2L;HIGD1A;UQCRHL;NDUFA13;NDUFA12;NDUFAB1;NDUFV1;COX5A;NDUFC2;COX8A;CYCS;NDUFB10;COX6B1;NDUFAF1;C2orf69;DMAC1;NDUFA8;UQCR10;NDUFC1;NDUFA10;NDUFB8;NDUFS5;NDUFA7;NDUFA3;UQCRB;DMAC2;UQCRH;NDUFA4;UQCRFS1;UQCRC2;COX7A2;NDUFS3;NDUFB6;UQCRC1;STMP1;NDUFS2;NDUFV2;NDUFB3;NDUFS4;NDUFA6;COX4I1;SDHA;COX5B;COA6;UQCRQ;COX6C;NDUFB9;SDHC;NDUFA1;NDUFA9;NDUFV3;COX15;SDHD;NDUFB4;NDUFB1;COX7B;NDUFB2;COX7C;SDHB;NDUFS1;NDUFB5;NDUFA2;FOXRED1;NNT;NDUFA5
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	NDUFB11;TIMM21;ACAD9;NDUFAF4;NDUFA13;NDUFA12;NDUFAB1;NDUFC2;NDUFB10;NDUFAF3;LYRM2;NDUFAF1;COA1;DMAC1;NDUFA8;NDUFC1;NDUFA10;OXA1L;NDUFB8;NDUFS5;TMEM186;NDUFA3;DMAC2;NDUFAF5;NUBPL;NDUFS3;NDUFB6;NDUFS2;NDUFB3;NDUFS4;NDUFA6;NDUFB9;NDUFA1;NDUFA9;NDUFAF6;NDUFB4;NDUFB1;NDUFB2;NDUFS1;NDUFB5;NDUFA2;FOXRED1;NDUFA5;NDUFAF7;TMEM126B
mitochondrial gene expression	mitochondrial gene expression;mitochondrial translation	CHCHD10;MRPL17;MRPS24;MRPL11;MRPL28;MRPS17;PRKAA1;MRPL38;MRPL49;MRPL23;MRPL37;RPUSD3;MRPS5;MRPS12;COA3;MRPL27;MRPS7;RCC1L;MALSU1;YARS2;MRPL55;TARS2;MRPL51;CHCHD1;TACO1;MRPS11;TRMT61B;PRORP;GATB;MRPL45;MRPL20;QRSL1;TUFM;RARS2;MRPL13;MRPL10;TRUB2;MRPL41;MRPL47;MRPL35;PTCD1;MRPL42;CDK5RAP1;MRPS26;SARS2;TSFM;ALKBH1;MRPS27;FASTKD2;MRPL24;LARS2;NGRN;MRPL14;MRPS18C;TRMT10C;MRPL33;MRPL22;TFB2M;MRPS10;MTERF2;ELAC2;LRPPRC;MRPL34;MRPS15;MTIF2;MRPL32;MRPS25;MRPL15;MRPL57;MRPL44;MRPS9;MRPS18B;GFM2;WARS2;GFM1;MRPS30;MRPL48;MRPL50;NDUFA7;MRPS31;FASTKD1;MRPS22;MRPL46;MRPL1;TEFM;MRPS33;SUPV3L1;MRPL21;MRPL58;PTCD3;MRPS35;EARS2;THAP11;TFAM;FASTKD5;MTERF1;MRPS16;MRPS28;MTPAP;MRPS21;DAP3;MRPL30;PNPT1;MTO1;MTRF1;DARS2;MTRES1;IARS2;MRPL40;MRPL43;MRPL39;MTERF3;MRPL16;TFB1M;PPARGC1B;MTERF4;MTIF3;FASTKD3;MRPL19;MRPS6
organellar ribosome	organellar ribosome;mitochondrial ribosome	MRPL17;MRPS24;MRPL11;MRPL28;MRPS17;MRPL38;MRPL49;MRPL23;MRPL37;MRPS5;MRPS12;MRPL27;MRPS7;MRPL55;MRPL51;CHCHD1;MRPS11;MRPL45;MRPL20;MRPL13;MRPL10;MRPL41;MRPL47;MRPL35;MRPL42;MRPS26;MRPS27;MRPL24;MRPL14;MRPS18C;MRPL33;MRPL22;MRPS10;MRPL34;MRPS15;MRPL32;MRPS25;MRPL15;MRPL57;MRPL44;MRPS9;MRPS18B;MRPS30;MRPL48;MRPL50;NDUFA7;MRPS31;MRPS22;MRPL46;MRPL1;MRPS33;MRPL21;MRPL58;PTCD3;MRPS35;MRPS16;MRPS28;MRPS21;DAP3;MRPL30;MRPL40;MRPL43;MRPL39;MRPL16;MTERF4;MRPL19;MRPS6
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase (quinone) activity;NADH dehydrogenase activity;NADH dehydrogenase (ubiquinone) activity;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	NDUFA13;NDUFA12;NDUFAB1;NDUFV1;NDUFC2;NDUFB10;NDUFAF1;DMAC1;NDUFA8;NDUFC1;NDUFA10;NDUFB8;NDUFS5;NDUFA7;NDUFA3;DMAC2;NDUFA4;NDUFS3;NDUFB6;NDUFS2;NDUFV2;NDUFB3;NDUFS4;NDUFA6;NDUFB9;NDUFA1;NDUFA9;NDUFV3;NDUFB4;NDUFB1;NDUFB2;NDUFS1;NDUFB5;NDUFA2;FOXRED1;NDUFA5;AIFM1;ENOX1;CBR4;AKR1C1;CRYZL1;CRYZ
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds	PINK1;UQCR11;CYC1;PPIF;DLAT;MDH1B;ACO2;AFG1L;ATP5MG;COX7A2L;UQCRHL;NDUFA13;NDUFA12;NDUFAB1;TMEM135;NDUFV1;COX5A;IDH2;NDUFC2;IDH3G;COX8A;CYCS;PDHA1;NDUFB10;STOML2;PARK7;DHTKD1;BNIP3;COQ9;COX6B1;NDUFAF1;C2orf69;ATP5F1B;ATP5MF;NDUFA8;UQCR10;IREB2;NDUFC1;NDUFA10;OXA1L;NDUFB8;NDUFS5;NDUFA7;NDUFA3;AK4;UQCRB;TEFM;UQCRH;MDH1;SUCLG1;NDUFA4;DLST;UQCRFS1;FH;UQCRC2;COX7A2;ATP5F1A;NDUFS3;ATP5PB;NDUFB6;SUCLG2;UQCRC1;NDUFS2;CS;GHITM;NDUFV2;IDH3B;NDUFB3;NDUFS4;NDUFA6;COX4I1;SDHA;CAT;COX5B;ACO1;ATP5ME;COA6;UQCRQ;PDHB;COX6C;NDUFB9;SDHC;ATP5PD;NDUFA1;NDUFA9;ATP5F1C;NDUFV3;COX15;SDHD;DLD;NDUFB4;NDUFB1;COX7B;NDUFB2;COX7C;SDHB;NDUFS1;NDUFB5;FXN;SUCLA2;ATP5PO;ATP5F1E;NDUFA2;ATPSCKMT;NNT;NDUFA5;IDH1;NIPSNAP2;SIRT3;DNAJC15;ISCU;ATP5PF;IDE;ME3;MSH2;IMMP2L;CHCHD5;GPD2;CISD1;LYRM7;ETFDH;ETFB;SOD2;ETFA;COQ10A;CHCHD4;PNPT1;ETFRF1;SLC25A12;SDHAF4;MTLN;PUM2;PPP1R3C;PPP1R3D;PFKM;POMC;PPP1CB;IRS1;GYG1;GSK3B;ENPP1;ACSM1;GFPT1;MT3;PHKA2;PYGB;ACADM;PHKB;PPP1CC;PPP1R1A;PPP1R3B;PPP1R3A;ACADVL;GNMT
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit;large ribosomal subunit	MRPL17;MRPL11;MRPL28;MRPL38;MRPL49;MRPL23;MRPL37;MRPL27;MRPL55;MRPL51;MRPL45;MRPL20;MRPL13;MRPL10;MRPL41;MRPL47;MRPL35;MRPL42;MRPL24;MRPL14;MRPL33;MRPL22;MRPL34;MRPL32;MRPL15;MRPL57;MRPL44;MRPS30;MRPL48;MRPL50;MRPL46;MRPL1;MRPL21;MRPL58;MRPL30;MRPL40;MRPL43;MRPL39;MRPL16;MTERF4;MRPL19;RPL3L;RPL39;RBM3;RPL26;RPL31;RPL9;RPL36AL;SNU13;RPL30;RPL22
peroxisomal matrix	peroxisomal matrix;microbody lumen	DHRS4;DDO;ABCD3;ECI2;ACOX2;CRYM;ACAA1;EHHADH;HMGCL;LONP2;HSD17B4;NUDT7;PRDX5;CAT;GNPAT;ACOT2;EPHX2;NUDT19;CROT;ACOX1;PHYH;CRAT;ECH1;ACOXL;PEX7;IDH1;IDE;NUDT12;SCP2;HACL1;GSTK1;AMACR
