representative	grouped_terms	genes
purine-containing compound metabolic process	purine-containing compound metabolic process;purine nucleotide metabolic process;nucleobase-containing small molecule metabolic process;nucleoside phosphate metabolic process;nucleotide metabolic process;carbohydrate derivative metabolic process;organophosphate metabolic process;phosphorus metabolic process;phosphate-containing compound metabolic process	KMO;OPA1;DNAJC30;PDHB;DMAC2L;GPAM;NDUFB5;NUDT8;AASS;COX11;NDUFB9;NOCT;ACSF2;ACACB;ACOT7;ATP5PF;ACSM2A;NDUFB8;SDHB;ATP5MC3;PDK4;NDUFS7;ACSL6;SLC25A13;DLD;ATP5PB;NDUFS5;FHIT;ATP5F1C;ACLY;DCXR;CLPX;ATP5F1A;DNM1L;MPC2;PDK1;NDUFA11;AK3;MACROD1;SLC25A1;DLAT;ACSL1;NDUFS4;NDUFS8;ANTKMT;OGDHL;NDUFB7;ATP5F1D;SUCLG1;NDUFA13;GCDH;NDUFB11;MMUT;NNT;SLC25A25;NDUFC1;ACOT2;ATP5PD;ACSM2B;NDUFAB1;NADK2;NDUFA7;NDUFS2;CROT;NDUFA2;NDUFV2;NDUFB6;ACSS1;MDH2;FIS1;NDUFV1;NDUFC2;ATP5PO;CPS1;PARK7;NAXE;SLC25A10;GPAT2;HOGA1;FDPS;DHRS7B;MOCS1;PHB2;IDI1;BCKDK;PPA2;PRDX4
purine ribonucleotide metabolic process	purine ribonucleotide metabolic process;ribonucleotide metabolic process;ribose phosphate metabolic process	OPA1;DNAJC30;PDHB;DMAC2L;GPAM;NDUFB5;NUDT8;AASS;COX11;NDUFB9;ACSF2;ACACB;ACOT7;ATP5PF;ACSM2A;NDUFB8;SDHB;ATP5MC3;PDK4;NDUFS7;ACSL6;SLC25A13;DLD;ATP5PB;NDUFS5;ATP5F1C;ACLY;CLPX;ATP5F1A;DNM1L;MPC2;PDK1;NDUFA11;AK3;SLC25A1;DLAT;ACSL1;NDUFS4;NDUFS8;ANTKMT;OGDHL;NDUFB7;ATP5F1D;SUCLG1;NDUFA13;GCDH;NDUFB11;MMUT;SLC25A25;NDUFC1;ACOT2;ATP5PD;ACSM2B;NDUFAB1;NDUFA7;NDUFS2;CROT;NDUFA2;NDUFV2;NDUFB6;ACSS1;FIS1;NDUFV1;NDUFC2;ATP5PO;NDUFB4;DHTKD1;THEM5;NUDT5;ATP5MK;PINK1;NDUFB1;NUDT2;TSPO;ACAT1;NDUFB10;ATP5MG;HINT1;NDUFA1;ATP5MC1;ATP5F1B;HMGCS2;ADCY10;NDUFA9
purine nucleotide biosynthetic process	purine nucleotide biosynthetic process;purine-containing compound biosynthetic process;purine ribonucleotide biosynthetic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;carbohydrate derivative biosynthetic process;nucleotide biosynthetic process;nucleoside phosphate biosynthetic process;organophosphate biosynthetic process;nucleobase-containing compound biosynthetic process;aromatic compound biosynthetic process	KMO;DNAJC30;PDHB;DMAC2L;NDUFB5;COX11;NDUFB9;ACACB;ACOT7;ATP5PF;NDUFB8;SDHB;ATP5MC3;PDK4;NDUFS7;ACSL6;SLC25A13;DLD;ATP5PB;NDUFS5;ATP5F1C;ACLY;ATP5F1A;MPC2;PDK1;NDUFA11;AK3;SLC25A1;DLAT;ACSL1;NDUFS4;NDUFS8;ANTKMT;NDUFB7;ATP5F1D;NDUFA13;GCDH;NDUFB11;MMUT;NDUFC1;ATP5PD;NDUFAB1;NADK2;NDUFA7;NDUFS2;NDUFA2;NDUFV2;NDUFB6;ACSS1;NDUFV1;NDUFC2;ATP5PO;SLC25A10;DCXR;GPAM;CPS1;FDPS;DHRS7B;GPAT2;MOCS1;IDI1;AASS;NOCT;POLB;SLC30A9;POLRMT;PARK7;PHB2;ACOD1;APEX1;FPGS;ABCB7;QDPR;ALAS1;ALDH2;COX10
ATP metabolic process	ATP metabolic process;purine nucleoside triphosphate metabolic process;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process;ATP biosynthetic process;nucleoside triphosphate metabolic process;proton motive force-driven ATP synthesis;nucleoside triphosphate biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process	DNAJC30;DMAC2L;NDUFB5;COX11;NDUFB9;ATP5PF;NDUFB8;SDHB;ATP5MC3;NDUFS7;SLC25A13;ATP5PB;NDUFS5;ATP5F1C;CLPX;ATP5F1A;DNM1L;NDUFA11;NDUFS4;NDUFS8;ANTKMT;OGDHL;NDUFB7;ATP5F1D;NDUFA13;NDUFB11;SLC25A25;NDUFC1;ATP5PD;NDUFAB1;NDUFA7;NDUFS2;NDUFA2;NDUFV2;NDUFB6;FIS1;NDUFV1;NDUFC2;ATP5PO;NDUFB4;DHTKD1;NUDT5;ATP5MK;PINK1;NDUFB1;NUDT2;TSPO;NDUFB10;ATP5MG;NDUFA1;ATP5MC1;ATP5F1B;ADCY10;NDUFA9;OPA1;AK3;DGUOK
carboxylic acid metabolic process	carboxylic acid metabolic process;organic acid metabolic process;oxoacid metabolic process	KYAT3;PRODH;COMT;FASN;ARG2;KMO;PDHB;GLDC;LDHAL6B;GPT2;HSD17B10;GPAM;FPGS;NIT2;NUDT8;BCKDK;AASS;ECI1;ACSF2;SLC25A16;ACACB;ACOT7;GOT2;CPS1;ACSM2A;LDHD;GRHPR;FH;HAO2;PDK4;GLUD1;ACSL6;GCSH;ACAD9;SLC25A13;DLD;ACLY;DCXR;AUH;SDSL;MPC2;PDK1;ECHDC3;SLC25A21;DLAT;ACSL1;QDPR;GPX1;OGDHL;BCKDHA;ALKBH7;IDH3A;GPAT2;SARDH;DECR1;GCDH;MMUT;OSBPL1A;ACOT2;PCCB;ACSM2B;NDUFAB1;PARK7;ACADS;GSTZ1;HAGH;HOGA1;CROT;ECHDC1;ACSS1;MDH2;ABAT;IVD;PPA2
acyl-CoA metabolic process	acyl-CoA metabolic process;thioester metabolic process;nucleoside bisphosphate metabolic process;ribonucleoside bisphosphate metabolic process;purine nucleoside bisphosphate metabolic process	PDHB;GPAM;NUDT8;AASS;ACSF2;ACACB;ACOT7;ACSM2A;PDK4;ACSL6;DLD;ACLY;MPC2;PDK1;SLC25A1;DLAT;ACSL1;SUCLG1;GCDH;MMUT;ACOT2;ACSM2B;CROT;ACSS1
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process;small molecule catabolic process	KYAT3;PRODH;ARG2;KMO;GLDC;GPT2;HSD17B10;NUDT8;BCKDK;AASS;ECI1;ACACB;ACOT7;GOT2;LDHD;HAO2;GLUD1;GCSH;DLD;DCXR;AUH;SDSL;SLC25A21;QDPR;BCKDHA;SARDH;DECR1;GCDH;PCCB;ACADS;GSTZ1;HOGA1;CROT;ECHDC1;ABAT;IVD;HMGCL;ECHDC2;ECI2;ECHS1;BCAT2;ETFDH;SLC25A44;CRAT;OAT;CPT1A;DBT;ACAT1;MCCC1;AGXT;SCP2;ALDH5A1;ALDH1B1;ALDH2;PARK7;HAGH;CYP27A1;NUDT5;ADCY10
generation of precursor metabolites and energy	generation of precursor metabolites and energy;cellular respiration;aerobic respiration;energy derivation by oxidation of organic compounds	COMT;DNAJC30;PDHB;SLC25A4;GLDC;DHRS2;NDUFB5;COX11;ETFRF1;NDUFB9;ACACB;ATP5PF;NDUFB8;COX17;DNAJC15;FH;SLC25A18;SDHB;NDUFS7;COQ9;SLC25A13;DLD;ATP5PB;NDUFS5;UQCC2;ATP5F1C;ACLY;ATP5F1A;CHCHD5;NDUFA11;UQCRQ;DLAT;QDPR;NDUFS4;NDUFS8;ANTKMT;COQ10A;OGDHL;IDH3A;NDUFB7;ATP5F1D;SUCLG1;NDUFA13;NDUFB11;COX6A1;NNT;SLC25A25;SLC25A22;NDUFC1;ATP5PD;C2orf69;NDUFAB1;ALDH2;FDX1;PARK7;COX4I1;NDUFA7;NDUFS2;COX7A2;CROT;NDUFA2;NDUFV2;NDUFB6;PHB2;ACSS1;MDH2;COX10;COX6C;UQCRC1;NDUFV1;NDUFC2;DMGDH;ATP5PO;HMGCL;COX5A;CYC1;NDUFB4;UQCRC2;DHTKD1;TRAP1;SIRT3;NDUFA4;PINK1;NDUFB1;ETFDH;COX4I2;OXA1L;DGUOK;UQCR11
thioester biosynthetic process	thioester biosynthetic process;acyl-CoA biosynthetic process;nucleoside bisphosphate biosynthetic process;ribonucleoside bisphosphate biosynthetic process;purine nucleoside bisphosphate biosynthetic process	PDHB;ACACB;PDK4;ACSL6;DLD;ACLY;MPC2;PDK1;SLC25A1;DLAT;ACSL1;GCDH;MMUT;ACOT7
NADH dehydrogenase activity	NADH dehydrogenase activity;NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase (quinone) activity;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	NDUFB5;NDUFB9;NDUFB8;NDUFS7;NDUFS5;NDUFS4;NDUFS8;NDUFB7;AIFM1;NDUFC1;NDUFA7;NDUFS2;NDUFA2;NDUFV2;NDUFB6;NDUFV1;NDUFC2;NDUFB4;NDUFA4;NDUFB1;NDUFB10;NDUFA1;NDUFA9;DCXR
