representative	grouped_terms	genes
tumor necrosis factor superfamily cytokine production	tumor necrosis factor superfamily cytokine production;regulation of tumor necrosis factor superfamily cytokine production;tumor necrosis factor production;regulation of tumor necrosis factor production	SLAMF1;PYCARD;CD36;TNFRSF8;CD14;SPN;VSIR;RIPK2;C5AR2;ADIPOQ;LILRA4;CX3CR1;CX3CL1;MMP8;CHRNA7;ILRUN;APP;ARFGEF2;TGFB1;SIRPA;FADD;BTK;IL23A;LBP;PSEN1;CYBA;MAPKAPK2;FCGR3A;TMEM106A;ARHGEF2;HDAC2;CD84;CLEC7A;IL27RA;CD33;CD86;CD274;TLR1;LILRA2;FCGR2A;TREM2;IL6;TYROBP;PTPN6;TLR2;IL33;LILRB1;SYK;CYBB;CARD9;PTPRJ;ACP5;CCR2;SASH3;ARG2;HAVCR2;AKAP12;CD47;LILRA5;ARRB2;ELF4;LILRB4;LGALS9;PTAFR;IL10;EPHB2
type II interferon production	type II interferon production;regulation of type II interferon production	CD160;IL12RB1;LGALS9C;TLR4;TLR9;PRNP;HLA-A;SLAMF1;PYCARD;CD14;VSIR;RIPK2;IL18;CYRIB;SLC11A1;TXK;CCR7;TLR7;EBI3;SIRPA;FADD;CR1;IL23A;PDE4B;RIPK3;SLC7A5;SCRIB;ABL1;CLEC7A;IL27RA;CD274;CEBPG;LTA;IL33;LILRB1;LAPTM5;TNF;TLR8;CCR2;SASH3;HAVCR2;CD47;ZFPM1;LILRB4;IRF8;IL1B;LGALS9;NLRP6;INHBA;IL10;SCGB1A1
focal adhesion	focal adhesion;cell-substrate junction	B2M;RSU1;PTPRA;PVR;REXO2;SSH2;HSPA9;RPL23;MAPK3;RPL19;FBLIM1;PPIA;SLC9A5;ACTN3;PTPN12;ITGB4;ACTG1;PPIB;RPS13;FLNA;SHC1;ENG;MPRIP;PFN1;MAPRE2;FHL3;NRP1;RPS14;SLC9A1;PARVG;CLTC;TPM4;DNM2;NECTIN2;IL16;STARD8;PLAUR;RPL31;RHOA;NPM1;TNC;RPS15;RPL12;TRIP6;LRP1;CTTN;RAB10;NCKAP1;P4HB;ATP6V0C;ARPC5;RAC2;GNA13;CNN2;PLEC;AMBRA1;MARCKS;CDC42;SNTB2;CDC42EP1;CSRP2;THSD1;TNFSF13B;CTNNA1;PPFIA1;ADAM17;TNS3;EVL;GNA12;PDIA3;RPL8;CALR;ACTR3;PTK7;PLAU;MISP;TEK;ADAM10;ADD1;PRKAR2A;ZYX;RPS11;RPL37A;RPLP1;RPL7;ZNF185;CD99;ACTB;PGM5;AFAP1;CLASP2;PI4KA;FAT1;ITGB7;NCSTN;LIMD1;YWHAB;GJA1;EHD3;IQGAP1;MCAM;ATP6V0A2;RALA;RPL30;TGM2;FLRT3;ITGA6;DLC1;YWHAZ;SHROOM4;EFNB2;YWHAQ;VASP;YWHAG;SVIL;TLN1;MMP14;HSPA5;SLC4A2;LAP3;CD151;MSN;RPLP2;RPS3A;FLNB;CORO1B;PABPC1;SDCBP;ARHGEF2;GIT2;ALOX15B;HSP90B1;FAP;CAPN1;RHOG;ARPC2;SNAP23;ACTN1;ITGB1;PEAK3;CAP1;HYOU1;KIF23;ARPC1B;CD59;YES1;MYH9;ADAM9;PIP5K1C;CD46;CASK;PXN;UBOX5;RPS29;PARVB;ITGB2;CFL1;ARL2;SLC6A4;KRAS;DAB2;HSPG2;CD44;TES;PDPK1;PCBP2;FLII;CYFIP1;ITGA3;FZD2;HMGA1;HCK;CSRP1;ITGAV;ACTN4;TRIOBP;TLE2;ITGA5;TNS4;ARHGAP31;MAPRE1;ITGA2;SH3KBP1;CBL;ASAP3;LIMK1;ICAM1;AKAP12;PIK3R2;MAP4K4;CTNNB1;PTK2;ANXA1;JAK1;GIT1;ITGB3;LAMA3;EPPK1;CIB2;FERMT3
interleukin-6 production	interleukin-6 production;regulation of interleukin-6 production	UNC93B1;SLAMF1;PYCARD;CD36;TLR6;RIPK2;SCIMP;C5AR2;CX3CL1;HLA-B;APP;AKIRIN2;TLR7;TGFB1;IL1RL2;SIRPA;BTK;LBP;CYBA;MAPKAPK2;SIGLEC16;TMEM106A;ARHGEF2;CD84;CD200R1;CLEC7A;NLRP12;IL27RA;MAPK13;TLR1;AIF1;LILRA2;TREM2;RELA;IL6;TYROBP;PTPN6;NCKAP1L;TLR2;IL33;FOXJ1;SYK;CARD9;TNF;IL17RA;TLR8;HYAL2;HAVCR2;LILRB2;CD47;LILRA5;ARRB2;ELF4;LILRB4;IL1B;LGALS9;NOS2;PTAFR;IL10;ARRB1
mitotic sister chromatid segregation	mitotic sister chromatid segregation;sister chromatid segregation	HNRNPU;FLNA;PPP2R1A;MAD2L1;EML4;TPX2;TRIP13;KMT5A;LCMT1;CHMP4B;LSM14A;RHOA;NDC80;SMC2;CCNB1;NCAPD3;NUDC;SPC25;BIRC5;KIF2A;CHMP7;KIF18A;CENPI;MISP;SMC3;SMC1A;NCAPG2;TPR;CDC20;KIF14;PLK1;CLASP2;HASPIN;BUB1;DLGAP5;SKA1;ANKRD53;ZWINT;KPNB1;MAD2L1BP;SPAG5;NCAPD2;BECN1;KATNB1;INO80;CENPE;RANGRF;CUL3;TTK;CDK1;NUF2;SPC24;WAPL;DCTN2;KIF4A;SMC4;NUSAP1;CENPK;PSRC1;INCENP;BUB1B;KIF23;PRC1;CDCA8;TUBG1;MAD2L2;SMARCA5;NCAPG;AURKB;KIFC1;BAZ1B;CENPF;CDT1;KIF11;KIF2C;SKA3;NCAPH;IK;CHMP1B;RAN;UBE2C;RACGAP1;MAPRE1;CDCA5;PHF13;BOD1;KIF18B;MYBL2;UHRF1;CHFR;NEK2;TOP2B;CDC6;SMARCC2;SMARCE1;SMARCC1;ARID1A;ANAPC1;BRD7;ACTB;TOP2A;SMARCA4;SMARCD1;HECW2;DPF2;PHF10;BCL7A
positive regulation of leukocyte activation	positive regulation of leukocyte activation;positive regulation of cell activation;positive regulation of lymphocyte activation	XBP1;CD40LG;VAV3;ABL2;CD24;TACR1;NECTIN2;CD160;IL12RB1;RHOA;SMARCC2;SMARCE1;GLI2;CLEC4D;TLR4;TLR9;FGF10;SMARCC1;STAT5B;ARID1A;AMBRA1;RUNX1;ZMIZ1;PNP;ICOSLG;HLA-A;AKT1;NCK2;SLAMF1;PYCARD;TNFSF13B;TLR6;CCL2;SPN;KARS1;CD83;VSIR;CTSC;XRCC6;RIPK2;IL18;PRKCZ;BLOC1S3;BRD7;TNFSF9;KMT5C;ACTB;ITPKB;HLA-DOB;LYN;CYRIB;MMP8;SOCS1;CCR7;AKIRIN2;SLC39A10;SMARCA4;SIRPB1;ZBTB7B;SMARCD1;VAV1;TGFB1;IL1RL2;EFNB2;EBI3;NFATC2;SIRPA;MMP14;FADD;BTK;CR1;IL23A;LBP;PAXIP1;FCGR3A;HSPH1;BRD2;CD320;HLA-G;PRKDC;AP3D1;ABL1;TP53BP1;CLEC7A;YES1;MTOR;CD46;MAD2L2;CD38;CD86;CD80;CD274;MDK;AIF1;SPI1;IHH;NSD2;CEBPA;GPAM;PDPK1;TREM2;LGALS1;SOX12;NR4A3;IL4I1;IL6;TYROBP;PTPN6;NCKAP1L;CD209;IL33;PIK3R6;PHF10;ADA;LILRB1;SYK;CYLD;CORO1A;SLC7A1;TNF;SH3KBP1;CCR2;IL2RA;SASH3;FCHO1;HAVCR2;LILRB2;CD47;MAP3K8;HAVCR1;IL13;ANXA1;LILRB4;CD55;IL1B;LGALS9;IL10;EPHB2;CD226;BRD4;B2M;DHPS;TNFSF14;STAT6;EXOSC3;SHH;TICAM2;RPS6KA1;SART1;VCAM1;AXL;TNIP2;FLNA;CLCF1;PMS2;MYB;PLEK;LILRA2;LILRA5
positive regulation of leukocyte cell-cell adhesion	positive regulation of leukocyte cell-cell adhesion;positive regulation of cell-cell adhesion;positive regulation of T cell activation	XBP1;CD40LG;ABL2;CD24;CD160;IL12RB1;RHOA;SMARCC2;SMARCE1;GLI2;ETS1;SMARCC1;STAT5B;ARID1A;AMBRA1;RUNX1;ZMIZ1;ST3GAL4;PNP;ICOSLG;HLA-A;AKT1;NCK2;SLAMF1;PYCARD;TNFSF13B;CCL2;SPN;CD83;VSIR;RIPK2;IL18;PRKCZ;BRD7;TNFSF9;ACTB;ITPKB;CHST2;GCNT1;HLA-DOB;LYN;CYRIB;IRAK1;SOCS1;CCR7;SMARCA4;SIRPB1;ZBTB7B;SMARCD1;VAV1;FUT7;ALOX5;IL1RL2;EFNB2;EBI3;SIRPA;FADD;CR1;IL23A;HSPH1;BRD2;HLA-G;AP3D1;ABL1;YES1;MTOR;CD46;CD86;ITGB2;CD80;CD274;MDK;AIF1;IHH;GPAM;CD44;PDPK1;LGALS1;SOX12;NR4A3;RELA;IL4I1;IL6;PTPN6;NCKAP1L;CD209;PIK3R6;PHF10;ADA;LILRB1;SYK;CYLD;CORO1A;SLC7A1;TNF;CCR2;IL2RA;SASH3;FCHO1;HAVCR2;LILRB2;CD47;MAP3K8;HAS2;ANXA1;LILRB4;CD55;IL1B;LGALS9;PTAFR;PLAUR;BMP7;AFDN;PTPN23;PLPP3;PTPRU;TJP1;SOX2;FSTL3;CX3CL1;GCNT2;PODXL;EMILIN2;PIEZO1;SMAD7;JAK1;IL10;KIF26B
regulation of lymphocyte proliferation	regulation of lymphocyte proliferation;regulation of mononuclear cell proliferation;mononuclear cell proliferation;regulation of leukocyte proliferation;lymphocyte proliferation;leukocyte proliferation	CD40LG;VAV3;CD24;IKZF3;TACR1;IL12RB1;LGALS9C;TLR4;RAC2;TLR9;FGF10;TNFSF8;STAT5B;TNFRSF1B;TNFRSF21;PRNP;PNP;ICOSLG;HLA-A;NCK2;SLAMF1;PYCARD;TNFSF13B;SPN;VSIR;MAPK8IP1;RIPK2;IL18;TNFSF9;GAL;LYN;CLEC4G;SLC39A10;ZBTB7B;DLG5;PLA2G2A;EBI3;NFATC2;FADD;SLC4A2;BTK;CR1;IL23A;BID;FCGR3A;CD320;RIPK3;HLA-G;CD300A;SCRIB;CD46;CD38;CD86;CD80;CD274;AIF1;VSIG4;IHH;GPAM;IL4I1;IL6;TYROBP;PTPN6;NCKAP1L;CD209;LST1;TNFRSF9;FOXJ1;ADA;LILRB1;SYK;TSPAN32;CORO1A;SLC7A1;CCR2;IL2RA;SASH3;ARG2;HAVCR2;LILRB2;CTNNB1;IL13;ANXA1;LILRB4;PKN1;CD55;IL1B;LGALS9;RASSF5;IL10;SCGB1A1;EPHB2;ST6GAL1;TBK1;P2RX7;RC3H2;FOSL2;DOCK2;PSMB10;HELLS;NCSTN;SLC11A1;GJA1;CCND3;CD151;MSN;CD180;ABL1;PIK3CG;PRKCD;ELF4;CR2;ACE;NF1;CNN2;GSTP1;CSF2;IL33;CSF1R;CSF2RB;PTK2;CX3CL1;TCIRG1;BAP1;TREM2
leukocyte cell-cell adhesion	leukocyte cell-cell adhesion;regulation of leukocyte cell-cell adhesion	ABL2;JAM2;CD24;CD160;ZC3H8;IL12RB1;CLEC4M;RHOA;SMARCC2;LGALS9C;SMARCE1;GLI2;BMP7;RC3H2;RAC2;FUT9;ETS1;SMARCC1;STAT5B;ARID1A;AMBRA1;RUNX1;TNFRSF21;ZMIZ1;ST3GAL4;PRNP;PNP;JAK3;EXT1;ICOSLG;HLA-A;AKT1;NCK2;SLAMF1;PYCARD;TNFSF13B;CCL2;SPN;CD83;VSIR;RIPK2;IL18;PRKCZ;BRD7;TNFSF9;ACTB;ITPKB;CHST2;CX3CR1;GCNT1;HLA-DOB;LYN;CYRIB;ITGB7;IRAK1;PECAM1;CLEC4G;SOCS1;CCR7;STK10;SMARCA4;SIRPB1;ZBTB7B;GFUS;DLG5;SMARCD1;VAV1;PLA2G2A;FUT7;ALOX5;IL1RL2;EFNB2;EBI3;SIRPA;FADD;SLC4A2;MIA3;CR1;IL23A;MSN;SLC39A8;HSPH1;BRD2;HLA-G;CD300A;AP3D1;ITGB1;SCRIB;ABL1;DUSP3;YES1;MTOR;CD46;CD86;ITGB2;CD80;CD274;MDK;AIF1;TNFAIP8L2;VSIG4;IHH;CD177;GPAM;CD44;PDPK1;LGALS1;SOX12;NR4A3;RELA;IL4I1;IL6;PTPN6;NCKAP1L;CD209;PIK3R6;PHF10;FOXJ1;SELPLG;ADA;LILRB1;SYK;CYLD;TSPAN32;ITGA5;LAPTM5;CORO1A;SLC7A1;TNF;CCR2;NRARP;IL2RA;SASH3;FCHO1;ARG2;ICAM1;HAVCR2;LILRB2;CD47;MAP3K8;KLF4;HAS2;SMAD7;ANXA1;LILRB4;CD55;IL1B;LGALS9;FERMT3;PODXL2;PTAFR;IL10;SCGB1A1
leukocyte activation involved in immune response	leukocyte activation involved in immune response;cell activation involved in immune response	SUPT6H;CLEC4D;TLR4;PIK3CD;RC3H2;LFNG;VAMP8;RAC2;SEMA4A;RABGEF1;BATF;JAK3;BCR;SLAMF1;PYCARD;DOCK2;SPN;KARS1;RAB27A;RIPK2;SOCS3;IL18;PRKCZ;KMT5C;CX3CR1;LYN;SLC11A1;ZBTB7B;FGR;TGFB1;ST3GAL1;KMT2A;BTK;CR1;IL23A;LBP;PSEN1;PAXIP1;FCGR3A;GAB2;BRD2;CD180;ITGAM;CPLX2;CD300A;SNAP23;CD84;RELB;ABL1;TP53BP1;MFNG;MTOR;CD46;MAD2L2;IL27RA;STXBP2;CD86;ITGB2;CD80;DYSF;MDK;SPI1;CD177;NSD2;MILR1;LILRA2;GRN;PDPK1;TREM2;LGALS1;PIK3CG;NR4A3;ADGRE2;IL6;TYROBP;PTPN6;NCKAP1L;IL33;EXO1;ADA;LILRB1;SYK;CORO1A;TNF;RNF8;CBL;CCR2;ICAM1;HAVCR2;FCER1G;ZFPM1;IL13;SMAD7;ANXA1;IRF8;LGALS9;JAK1;PTAFR;IL10;IRF4;LRP1;APP
