representative	grouped_terms	genes
response to unfolded protein	response to unfolded protein;response to topologically incorrect protein	WFS1;EIF2S1;SERP1;DDRGK1;ERMP1;EDEM1;HSPA8;VAPB;YOD1;CREBRF;ATF6;DERL2;HSPB1;FICD;TBL2;PPP1R15B;TMEM33;UBXN4;PIK3R1;SELENOS;DERL3;MBTPS2;OS9;PACRG;DNAJB4;ABCB10;EIF2AK2;DNAJB9;TMED2;HSP90AB1;JKAMP;HSPA4;UFL1;BAG3;HSPE1;EDEM3;DERL1;HSPA1A;STT3B;XBP1;DNAJB1;DNAJB2;DNAJC3;HSPD1;HERPUD1;SERPINH1;BHLHA15;DNAJA1;DDIT3;HSP90AA1;HSPA5;HSPH1;MANF;AGR2;HSPA1L;HSPA4L;HSPA6;CHAC1;UBE2W
'de novo' post-translational protein folding	'de novo' post-translational protein folding;'de novo' protein folding;chaperone cofactor-dependent protein refolding	UGGT1;CCT2;ST13;HSPA1B;HSPE1;HSPA1A;HSPA13;DNAJB1;SDF2L1;PTGES3;HSPA5;HSPH1;HSPA1L;HSPA6;HSPD1
sex-chromosome dosage compensation	sex-chromosome dosage compensation;dosage compensation by inactivation of X chromosome	RBM15B;PCGF5;CDYL;SMCHD1;HNRNPU;RLIM;SUZ12;LRIF1;MACROH2A1;YTHDC1;XIST
miRNA binding	miRNA binding;regulatory RNA binding	HNRNPA2B1;PUM1;YBX1;PUM2;ZC3H10;AGO2;OIP5-AS1;AGO3;ELAVL1;FMR1;AGO1;DNM3OS;XIST;TLR9;TLR7;PIWIL1
post-transcriptional gene silencing	post-transcriptional gene silencing;regulatory ncRNA-mediated post-transcriptional gene silencing	FXR1;GIGYF2;PUM1;PUM2;XPO5;DDX6;ZC3H10;AGO2;OIP5-AS1;AGO3;ELAVL1;TSN;TIAL1;TNRC6B;FMR1;MIR3142HG;CNOT6;CELF1;NCBP1;TRUB1;HELZ;AGO1;DNM3OS;XIST
regulation of RNA stability	regulation of RNA stability;regulation of mRNA stability;regulation of mRNA catabolic process	NPM1;IGF2BP2;CNOT1;DHX36;AXIN2;RBM24;NAF1;TUT4;EXOSC8;DDX49;RBM47;SAMD4A;YTHDF1;FTO;BOLL;CNOT7;ZC3H12D;DIS3;DHX9;CNOT3;TAF15;AKT1;TARDBP;THRAP3;METTL14;SYNCRIP;ROCK2;NOCT;FXR1;GIGYF2;PAN2;RBM33;CACNG7;KHSRP;PUM1;YBX1;PUM2;PRKCA;PCID2;MLH1;PDE12;DKC1;CAPRIN1;PHAX;AGO2;HNRNPU;QKI;NT5C3B;SERBP1;RC3H2;ZC3H14;YTHDF3;PATL1;ELAVL1;METTL16;CNOT10;CPEB3;TNRC6B;ROCK1;TENT5A;LARP1B;CNOT4;YBX3;MAPK14;FMR1;PNLDC1;CNOT6;TENT5C;CELF1;DCP1A;IREB2;PLEKHN1;TRDMT1;TENT4B;TRAF2;RBM8A;MAGOHB;ZC3HAV1;DHX34
RNA catabolic process	RNA catabolic process;mRNA catabolic process	RBM24;SMG8;NAF1;NBDY;TUT4;EXOSC8;DDX49;RBM8A;RBM47;SAMD4A;YTHDF1;MTREX;SND1;FTO;BOLL;CNOT7;ZC3H12D;RNASE2;PPP1R8;DIS3;DHX9;EDC4;CNOT3;TAF15;ZSWIM8;AKT1;TARDBP;SMG7;THRAP3;METTL14;SYNCRIP;ROCK2;NOCT;FXR1;GIGYF2;PAN2;RBM33;MAGOHB;CACNG7;KHSRP;PUM1;YBX1;SMG6;PUM2;PRKCA;NUDT12;PCID2;MLH1;PDE12;DKC1;FEN1;CAPRIN1;XRN1;PHAX;AGO2;OIP5-AS1;HNRNPU;AGO3;QKI;NT5C3B;SERBP1;RC3H2;ZC3H14;YTHDF3;PATL1;ELAVL1;METTL16;CNOT10;CPEB3;TNRC6B;ROCK1;TENT5A;LARP1B;CNOT4;ZC3HAV1;YBX3;SSB;MAPK14;FMR1;PNLDC1;CNOT6;TENT5C;CELF1;HSPA1B;DCP1A;HSPA1A;NCBP1;IREB2;DHX34;ATM;PLEKHN1;AGO1;DNM3OS;SMG1;TRDMT1;TENT4B;TRAF2;DEDD2;XIST;AXIN2
cellular response to unfolded protein	cellular response to unfolded protein;cellular response to topologically incorrect protein;endoplasmic reticulum unfolded protein response	WFS1;EIF2S1;SERP1;DDRGK1;ERMP1;VAPB;YOD1;ATF6;DERL2;FICD;TBL2;PPP1R15B;TMEM33;PIK3R1;SELENOS;DERL3;MBTPS2;OS9;PACRG;ABCB10;EIF2AK2;DNAJB9;TMED2;UFL1;BAG3;DERL1;HSPA1A;XBP1;HSPD1;HERPUD1;BHLHA15;DDIT3;HSPA5;AGR2;UBE2W
protein disulfide isomerase activity	protein disulfide isomerase activity;intramolecular oxidoreductase activity, transposing S-S bonds	PDIA2;PIGK;P4HB;ENOX1;PDIA3;CRELD2;PDIA6;CRELD1;PDIA4
L-amino acid biosynthetic process	L-amino acid biosynthetic process;alpha-amino acid biosynthetic process;proteinogenic amino acid biosynthetic process	OAT;MTRR;SEPHS2;GLS;AASDHPPT;AASS;CBS;ENOPH1;PSPH;NAGS;PLOD2;AGXT;MTHFD2L;SHMT2;PLOD3;ASNS;PYCR1;PSAT1;PAH;BCAT1;ATP2B4
