representative	grouped_terms	genes
immunoglobulin mediated immune response	immunoglobulin mediated immune response;B cell mediated immunity	IGHV7-4-1;TNFSF4;IGHD;MSH2;C1QC;C1QA;C1QB;IGHV2-5;FCGR3A;IGHA2;ZP3;IGHV3-48;C6;IGHV1-58;KMT5B;IGHV4-59;NFKBIZ;TNF;PRKCD;IGHV1-69-2;SUSD4;IGHV3-73;IGHV3-21;IGHV3-15;IGHV1-3;IGHV4-34;IGHV1-24;IGHV1-18;IGHV3-53;IGHV2-70;IGHV3-20;IGHV3-43;IGHV3-33;IGHV1-69;IGHV1-69D;IGHV5-51;IGHV3-11;IGHV3-7;IGHV3-74;IGHV3-30;IGLC3;IGHG2;IGHV6-1;IGHV3-49;IGHV4-61;IGHG3;IGKC;IGLC1;IGHG1;IGHA1;IGHV4-39;IGLC2;IGHV3-23;IGHM;BATF;SLA2;IGHV2-26;CD226
aerobic respiration	aerobic respiration;cellular respiration	ATP5PF;NDUFV1;SDHD;SDHC;NDUFA2;DHTKD1;COX7B;NDUFS6;COX7A1;ADSL;NDUFA10;COQ9;SUCLG2;CBFA2T3;SUCLG1;COX5A;NDUFA4;TMEM135;MTCO2P12;NDUFA6;NUPR1;NDUFV2;NDUFA7;ATP5PB;ATP5ME;MDH2;UQCRC1;UQCRC2;UQCRFS1;NDUFA13;NDUFA1;ATP5F1E;IDH3A;CCNB1;NDUFA12;SDHAF2;PDHA1;FH;UQCC2;COX6C;NDUFS7;NDUFAB1;GHITM;BNIP3;UQCR10;UQCRH;NDUFB6;STOML2;OXA1L;NDUFA9;CS;NDUFB1;NDUFB11;MDH1;NDUFA8;NDUFV3;ATP5PO;NDUFS5;CDK1;NDUFB4;UQCRB;IDH1;COX7C;DLST;ATP5PD;IDE;SDHA;DLD;SDHB;CYC1;ATP5F1C;NIPSNAP2;ATP5F1B;IDH3B;ATP5F1A;NDUFC1;COX8C;CHCHD10;NDUFB9;COX8A;COX5B;ATP5MG;SNCA;UQCRHL;NDUFS4;SUCLA2;ARL2;NDUFB7;DLAT;MSH2;COX7A2;NNT;NDUFS1;UQCRFS1P1;NDUFB10;NDUFS8;MLXIPL;ANTKMT;ATP5F1D;MFN2;ACO2;ME3;MIR210;COX10;BLOC1S1;NDUFA5;OGDH;IDH3G;TAFAZZIN;TNF;AFG1L;ATPSCKMT;MACROH2A1;CAT;NDUFS3;MTFR2;FXN;SLC25A33;DNAJC15;TRPV4;COX6A1;LYRM7;VPS54;CISD1;TRAP1;CHCHD5;IFNLR1;PUM2;SLC25A18;SLC25A25;GPD2;GPD1;CYP1A2;ETFDH;ETFB;SLC25A12;CHCHD4;AIFM2;COQ10A
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;aerobic electron transport chain;respiratory electron transport chain	UQCC3;NDUFB8;NDUFV1;SDHD;SDHC;NDUFA2;COX7B;NDUFS6;COX7A1;NDUFA10;COQ9;COX5A;NDUFA4;MTCO2P12;NDUFA6;NDUFV2;NDUFA7;UQCRC1;UQCRC2;UQCRFS1;NDUFA1;CCNB1;NDUFA12;SDHAF2;COX6C;NDUFS7;NDUFAB1;GHITM;UQCR10;UQCRH;NDUFB6;NDUFA9;NDUFB1;NDUFA8;NDUFV3;NDUFS5;CDK1;NDUFB4;UQCRB;COX7C;SDHA;DLD;SDHB;CYC1;NDUFC1;COX8C;NDUFB9;COX8A;COX5B;SNCA;UQCRHL;NDUFS4;NDUFB7;COX7A2;NDUFS1;UQCRFS1P1;NDUFB10;NDUFS8;MIR210;NDUFA5;TAFAZZIN;AFG1L;NDUFS3;DNAJC15;COX6A1;VPS54;PUM2;SLC25A18;GPD2;GPD1;ETFDH;ETFB;SLC25A12;AIFM2
respirasome	respirasome;mitochondrial respirasome;respiratory chain complex	UQCC3;SURF1;NDUFB8;NDUFV1;SDHD;SDHC;BCS1L;NDUFA2;COX7B;NDUFS6;COX7A1;NDUFA10;COX5A;NDUFA4;MTCO2P12;NDUFA6;NDUFV2;NDUFA7;UQCRC1;UQCRC2;UQCRFS1;NDUFA13;NDUFA1;NDUFA12;COX6C;NDUFS7;NDUFAB1;UQCR10;UQCRH;NDUFB6;DMAC2;NDUFA9;NDUFB1;NDUFB11;NDUFA8;NDUFV3;NDUFS5;NDUFB4;C15orf48;UQCRB;HIGD1A;COX7C;SDHA;SDHB;CYC1;NDUFC1;COX8C;NDUFB9;COX8A;COX5B;UQCRHL;NDUFS4;NDUFB7;STMP1;COX7A2;NNT;NDUFS1;UQCRFS1P1;NDUFB10;FOXRED1;NDUFS8;NDUFA5;NDUFS3;COX6A1
ATP biosynthetic process	ATP biosynthetic process;proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process	UQCC3;NDUFB8;TMSB4X;ATP5PF;NDUFV1;SDHD;SDHC;NDUFA2;ATP5MC2;NDUFS6;NDUFA10;NDUFA6;NDUFV2;NDUFA7;ATP5PB;ATP5ME;NDUFA13;NDUFA1;ATP5F1E;ATP5MJ;PARP1;NDUFA12;PRKAG2;NDUFS7;NDUFAB1;ATP5MC3;NDUFB6;STOML2;COX11;ATP6V1A;NDUFA9;NDUFB1;NDUFB11;NDUFA8;NDUFV3;ATP5PO;LIPA;NDUFS5;NDUFB4;ATP5PD;SDHA;SDHB;TREM2;ATP5F1C;ADCY10;ATP5F1B;ATP5F1A;NDUFC1;NDUFB9;ATP5MG;ATP6V0C;NDUFS4;NDUFB7;NDUFS1;NDUFB10;NDUFS8;ANTKMT;ATP5F1D;SPHK2;NDUFA5;TAFAZZIN;PPARA;ATPSCKMT;NDUFS3;NME5;NME9;NME6;DTYMK;AK1;AK3;UCKL1;TBPL1
NADH dehydrogenase activity	NADH dehydrogenase activity;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor;NADH dehydrogenase (ubiquinone) activity;mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase (quinone) activity	NDUFB8;NDUFV1;NDUFA2;NDUFS6;NDUFA10;ENOX1;NDUFA4;NDUFA6;AIFM1;NDUFV2;NDUFA7;NDUFA1;NDUFA12;NDUFS7;NDUFB6;NDUFA9;NDUFB1;NDUFA8;NDUFV3;NDUFS5;NDUFB4;NDUFC1;NDUFB9;NDUFS4;NDUFB7;NDUFS1;NDUFB10;NDUFS8;NDUFA5;NDUFS3;NQO1;CBR3;NQO2;NDUFA13;NDUFAB1;DMAC2;NDUFB11;FOXRED1;CBR1;DCXR;AIFM2;AKR1C1;AKR1C3
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	NDUFB8;NDUFV1;NDUFA2;NDUFS6;NDUFA10;NDUFA4;NDUFA6;NDUFV2;NDUFA7;NDUFA13;NDUFA1;NDUFA12;NDUFS7;NDUFAB1;NDUFB6;DMAC2;NDUFA9;NDUFB1;NDUFB11;NDUFA8;NDUFV3;NDUFS5;NDUFB4;NDUFC1;NDUFB9;NDUFS4;NDUFB7;NDUFS1;NDUFB10;FOXRED1;NDUFS8;NDUFA5;NDUFS3
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	TMEM126A;NDUFB8;BCS1L;NDUFA2;NDUFA10;NUBPL;NDUFA6;TIMM21;NDUFA13;NDUFA1;NDUFA12;NDUFS7;NDUFAB1;NDUFB6;DMAC2;NDUFAF6;OXA1L;NDUFA9;NDUFB1;NDUFB11;NDUFA8;NDUFS5;ECSIT;NDUFB4;TMEM186;NDUFC1;NDUFB9;NDUFS4;NDUFB7;ACAD9;NDUFAF3;NDUFS1;NDUFB10;FOXRED1;NDUFS8;NDUFAF4;NDUFAF5;NDUFA5;TAFAZZIN;NDUFS3
nucleoside bisphosphate metabolic process	nucleoside bisphosphate metabolic process;ribonucleoside bisphosphate metabolic process;purine nucleoside bisphosphate metabolic process;acyl-CoA metabolic process;thioester metabolic process	ACOT7;DLST;ACOT11;DLD;ACSL1;BPNT1;HACD2;MCEE;ACOT1;ACSM2A;SULT1B1;GCDH;HMGCS1;ELOVL1;SULT1A1;SNCA;ACSL6;SUCLA2;ACAT1;PDK2;DLAT;PANK4;DIP2A;AASS;MVD;GLYAT;MCCC2;BAAT;MMUT;ACOT2;ACSBG2;FITM2;HSD17B4;HACD1;DGAT1;GPAM;HMGCR;PANK1;OGDH;MLYCD;OXSM;ELOVL3;ACACB;DGAT2;SULT1E1;TPST2;ACSM5;ACSM3;HMGCS2
extracellular matrix organization	extracellular matrix organization;external encapsulating structure organization;extracellular structure organization	ITGB3;PTX3;ELF3;TNFRSF11B;ADAMTS9;WDR72;FAP;ZNF469;EMILIN1;COMP;HPN;LOXL3;LUM;COLGALT1;PDGFRA;COL27A1;COL4A1;ADAMTS8;TGFB2;COL5A2;TNR;GREM1;COL14A1;COL28A1;NID2;COL22A1;ABL1;COL3A1;RXFP1;COL1A2;COL11A2;MELTF;PRSS1;DPT;FOXF1;ERO1A;FOXC2;ADAMTS4;APLP1;ITGA8;RUNX1;LOXL4;MATN4;MYO1E;FKBP10;LOXL2;ADAMTS13;COL9A2;COL15A1;SMOC2;SERPINF2;LRP1;COL1A1;AEBP1;COL4A2;ADAMTSL2;PRSS2;DMP1;CMA1;HMCN1;EFEMP2;CCDC80;NFKB2;MMP17;FERMT1;COL8A2;CTSK;TPSAB1;FLOT1;ADAMTSL1;GFAP;ANGPTL7;PRDX4;PAPLN;COL4A4;MATN2;VTN;IBSP;COL5A1;SH3PXD2B;P3H4;P4HA1;ADAMTS3;EXT1;ECM2;MAD2L2;OLFML2B;CTSG;SPINT2;SPINT1;RIC1;MFAP4;MMP24;WT1;COL18A1;LAMC1;COL16A1;ITGB1;B4GALT1;COL12A1;TGFBI;ABI3BP;LOX;SMAD3;PXDN;TLL1;TEX14
demethylase activity	demethylase activity;histone H3 demethylase activity;histone demethylase activity;protein demethylase activity;2-oxoglutarate-dependent dioxygenase activity	KDM5D;UTY
sex-chromosome dosage compensation	sex-chromosome dosage compensation;X chromosome	MACROH2A2;MACROH2A1;XIST
modulation of chemical synaptic transmission	modulation of chemical synaptic transmission;regulation of trans-synaptic signaling	NLGN4Y;GRIK4;SV2B;CHRNA3;SLC6A1;SHANK2;RELN;RIMS3;GRIA2;CACNA1B;CAMKV;GRID2IP;DCC;CHRNB4;SLC6A4;DKK1;NTF4;AKAP12;NLGN2;CHRDL1;GRIK5;GRIN1;FER1L5;TNR;SHISA9;GRIA3;CELF4;RIMS2;ABL1;DLG4;NSG1;CNR1;GRIA1;TSHZ3;INS;GRM5;MYOF;CHRNA5;ARHGAP44;CDH11;GRIN2D;SV2C;GRIK1;SYNGAP1;SORCS3;CNTN4;SHANK1;NEFH;SYT12;RIMS4;SERPINE2;KCNQ3;STX1A;NRXN1;PRKCE;RASGRF2;ARC;PLCB1;GRIN2B;JPH3;SNCAIP;KCNJ10;SYT1;SNAP25;ADCY8;BEGAIN;PPP3CA;MAP1B;CLSTN3;BRAF;PPP3R1;SLC24A1;SLC12A2;STAU1;RAP1B;SLC4A10;CCL2;NTF3;ADCY1;NGFR;NLGN3;FBXO45;NEFL;PTEN;PRKCG;CACNB4;FLOT1;GFAP;OTOF;YWHAH;PTK2B;SHISA7;ACE;PLPPR4;MCTP1;TACR1;PXK;STX1B;CA2;SLC8A2;CPLX2;PHF24;NEURL1;GIPC1;SLC1A1;BDNF;DRD1;LRRC4C;GRID1;NSMF;INA;PTGS2;CLSTN2;SLC8A3;ITGB1;RIMS1;EGFR;PFN1;RAP1BL;PRRT1;KCNB1;KIT;LRRTM1;SIPA1L1;MTMR2;NCDN;GNAI2;KAT2A;P2RX1;PTPRD;PTN;TMEM25;STX3;SLC6A9;LRP8;P2RY4;EDN1;HTR2A;HAP1;CAMK2A;LZTS1;P2RY1;RPS6KB1;HRH1;PRRT2
nuclear androgen receptor binding	nuclear androgen receptor binding;regulation of androgen receptor signaling pathway	KDM5D
post-transcriptional gene silencing	post-transcriptional gene silencing;regulatory ncRNA-mediated post-transcriptional gene silencing	CLP1;ZC3H10;MIR3677HG;MIR3142HG;DNM3OS;ENDOU;ZSWIM8;MIR210;TRUB1;RIPK1;TNRC6A;BMP4;MIR133A1HG;MIR17HG;DGCR8;MIR23AHG;MIRLET7BHG;MIR29B2CHG;XIST
signaling receptor activator activity	signaling receptor activator activity;receptor ligand activity;signaling receptor regulator activity	IL11;CXCL6;HGF;TNFRSF11B;FGF23;NPY;IL24;ARTN;LIF;CCL19;PENK;COLEC10;CCL11;FGF7;IGF2;TGFB3;REG1A;ALKAL2;DKK1;NTF4;TGFB2;TAFA1;GREM1;SEMA6B;TNFSF14;FGF14;GDF7;GDF15;LEFTY2;BMP8A;IL32;IL1RN;FGF2;NDP;INS;AVP;BTC;HSPA1A;TNFSF13B;WNT1;EFEMP1;UTS2;GAL;VEGFA;INHBA;CXCL8;SST;INSL6;APLN;CCL21;IL20;PRKCE;TYMP;CGA;KITLG;OSM;EPGN;STC2;TTR;SEMA7A;GDF11;STC1;THNSL2;CMTM1;KL;WNT16;INHBB;CGB7;BMP5;NAMPT;CCL2;NTF3;IL19;BMP8B;SEMA4F;PDGFD;MDK;TNFSF15;CLEC11A;IGF1;OSTN;FGF11;DLL4;ALKBH1;CALCB;IL12A;ANGPTL3;CCL13;IL34;FLRT3;NBL1;HDGFL3;CTSG;BDNF;ERFE;SEMA3F;PRLH;FGF5;CLCF1;OGN;CALCA;GKN1;SEMA4C;SCG2;CTF1;SPP1;PF4;EGFR;JAG1;CD320;NRG2;FGF16;REG3A;UTS2B;SEMA3D;CXCL10;CXCL14;FST;LY6H;LYPD1;PCSK9;TMEM35A;PDE4D;LYPD6;IL18BP;WFIKKN2;PRRT1;PXDN
aldo-keto reductase (NADP) activity	aldo-keto reductase (NADP) activity;alcohol dehydrogenase (NADP+) activity	DHRS3;KCNAB2;RDH12;RDH13;CBR1;ALDH3A1;RDH14;AKR1B10;AKR1C1;AKR1B15;AKR1C3
fibrillar collagen trimer	fibrillar collagen trimer;banded collagen fibril	LUM;COL27A1;COL5A2;COL28A1;COL3A1;COL1A2;COL11A2;COL1A1;COL5A1
