representative	grouped_terms	genes
mitochondrial translation	mitochondrial translation;mitochondrial gene expression	MRPL34;MRPL54;MRPS23;MRPL11;MRPL21;MRPL52;MRPL9;MRPS18C;UQCC2;MTIF2;ALKBH1;MRPL40;MRPS21;MRPL2;RMND1;MRPS18B;MRPS14;DARS2;GARS1;RPUSD4;MTG2;MRPL22;NDUFA7;PTCD1;COA3;MRPL18;MRPL19;SARS2;TARS2;MRPL33;MRPS25;MRPL45;IARS2;NGRN;MRPS7;MRPS22;MRPS6;LRPPRC;GFM2;FASTKD2;MRPL47;MRPL17;MRPS5;MRPL49;MRPS35;GFM1;MRPL27;MRPS15;MRPL35;MRPS30;MRPS18A;MRPS11;MRPL51;MRPL38;MRPL55;LARS2;MRPL58;MRPL1;MRPL15;MRPL39;MRPL13;MRPS26;TUFM;MRPS12;MRPS28;MRPS33;MTRF1L;MRPL44;MRPS9;MRPS2;MRPL16;RCC1L;CHCHD1;GADD45GIP1;MRPL3;HARS1;AURKAIP1;TACO1;GATB;MRPS27;MRPL4;MRPS24;MRPL36;DAP3;YARS2;MRPL12;RPUSD3;MRPL20;MRPS34;TRUB2;TSFM;MALSU1;MRPL37;MRPS16;MRPL43;MTIF3;EARS2;MRPL30;C1QBP;MRPL24;MRPL14;MRPL28;MRPS10;MRPL10;MRPL57;AARS2;MRPL48;MRPS17;MTO1;MTERF1;TRNT1;MTERF2;FASTK;TFB2M;TRMT61B;PRORP;THAP11;ELAC2;MTRES1;CHCHD10;TEFM;PNPT1;TFB1M
organellar ribosome	organellar ribosome;mitochondrial ribosome;ribosomal subunit	MRPL34;MRPL54;MRPS23;MRPL11;MRPL21;MRPL52;MRPL9;MRPS18C;MRPL40;MRPS21;MRPL2;MRPS18B;MRPS14;MTG2;MRPL22;NDUFA7;MRPL18;MRPL19;MRPL33;MRPS25;MRPL45;MRPS7;MRPS22;MRPS6;MRPL47;MRPL17;MRPS5;MRPL49;MRPS35;MRPL27;MRPS15;MRPL35;MRPS30;MRPS18A;MRPS11;MRPL51;MRPL38;MRPL55;MRPL58;MRPL1;MRPL15;MRPL39;MRPL13;MRPS26;MRPS12;MRPS28;MRPS33;MRPL44;MRPS9;MRPS2;MRPL16;CHCHD1;GADD45GIP1;MRPL3;AURKAIP1;MRPS27;MRPL4;MRPS24;MRPL36;DAP3;MRPL12;MRPL20;MRPS34;MRPL37;MRPS16;MRPL43;MRPL30;MRPL24;MRPL14;MRPL28;MRPS10;MRPL10;MRPL57;MRPL48;MRPS17;RPL37A;RPL3L;RPLP0P6;RPS2;DHX29;RPL7L1;RSL1D1;RPL26L1;NPM1;NHP2;SNU13
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process	ANTKMT;NDUFS1;SDHB;NDUFA10;NDUFS4;ATP5PD;NDUFV3;NDUFA12;NDUFA9;NDUFB11;ATP5ME;NDUFA5;NDUFA7;SDHA;ATP5F1A;NDUFB10;NDUFB7;ATP5MJ;NDUFB5;NDUFS5;STOML2;ATP5F1D;ATP5F1EP2;ATP5PB;NDUFA3;ATP6V0C;NDUFB9;SDHD;ATP5PO;NDUFA2;ATP5PF;VPS9D1;NDUFA1;SDHC;ATP5MG;ATP5MK;ATP5F1E;NDUFC1;NDUFA13;ATP5MF;ATP5MC1;ATP5F1B;ATP5MC2;NDUFS8;NDUFAB1;NDUFS7;NDUFV2;NDUFV1;NDUFA6;NDUFB1;NDUFS6;NDUFB3;ATP5F1C;NDUFB8;ATP5MC3;NDUFA8;NDUFB4;NDUFS2;NDUFB6;NDUFA11;DNAJC30;NDUFB2;NDUFC2;IMPDH2;NME6;NME7;COX11;NUDT2;ADK;VCP;PINK1;UQCC3;ALDOA;NME5;NME1;PARP1;NME4;DMAC2L;CTPS1;AK3;AK1
mitochondrial respirasome	mitochondrial respirasome;respirasome;respiratory chain complex	SURF1;NDUFV3;UQCR10;NDUFA12;NDUFA9;UQCRFS1P1;UQCRH;NDUFB11;BCS1L;NDUFA5;COX7A2L;NDUFA7;SDHA;NDUFB10;NDUFB7;NDUFB5;NDUFS5;COX5B;NDUFA3;COX6A2;COX7A1;NDUFB9;UQCRC2;SDHD;NDUFA2;NDUFAF1;UQCRFS1;NDUFA1;SDHC;COX4I1;UQCC3;NDUFC1;NDUFA13;COX15;COX6B1;CYC1;NDUFS8;NDUFAB1;NDUFS7;UQCRC1;NDUFV2;NDUFV1;NDUFA6;NDUFB1;DMAC2;NDUFS6;STMP1;UQCR11;NDUFB3;NDUFB8;UQCRB;COX5A;NDUFA8;COX8A;COX7C;FOXRED1;COX7B;COX6C;NDUFB4;DMAC1;NDUFS2;WDR93;NDUFB6;RAB5IF;NDUFA4;NDUFA11;NDUFB2;NDUFC2;CYCS;TTC19;HIGD2A;COA6
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	NDUFS1;TMEM186;ACAD9;NDUFA10;NDUFS4;TMEM126A;NDUFA12;NDUFA9;NDUFB11;OXA1L;BCS1L;NDUFA5;NDUFB10;NDUFB7;NDUFAF2;NDUFB5;NDUFS5;NDUFA3;TIMM21;NDUFAF8;NDUFB9;NDUFA2;NDUFAF6;NDUFAF1;NDUFA1;NDUFC1;NDUFA13;NDUFS8;NDUFAB1;NDUFS7;ECSIT;NDUFA6;NDUFB1;DMAC2;NDUFB3;NDUFB8;NDUFA8;FOXRED1;LYRM2;NDUFAF3;NDUFB4;DMAC1;NDUFS2;NDUFB6;NDUFA11;NUBPL;NDUFB2;COA1;NDUFAF7;NDUFC2;TMEM126B
B cell mediated immunity	B cell mediated immunity;immunoglobulin mediated immune response	IGHM;IGHV4-59;IGHV1-3;CD19;IGHG1;IGKC;IGHV5-51;IGHV3-23;IGHG3;IGHG2;IGHV3-74;IGLC1;IGHV1-69D;IGHV4-39;IGHV1-18;IGHV3-7;IGHV3-64D;IGHA1;IGHV2-5;IGHA2;IGHV1-69;CD70;IGLC2;SERPING1;IGHV1-69-2;IGHV7-4-1;IGLC3;IGHV3-48;IGHV3-11;IGHV3-49;IGHG4;AICDA;IGHV6-1;IGHV3-15;IGHV3-21;IGHV3-53;C1R;C1S;IGHV3-20;IGHV2-70D;HLA-E;IGHV4-61;IGHV5-10-1;IGHV4-34;CFI;IGHV3-33;IGHV2-70;C1RL;CR2;RNF168;C2;IGHD;SWAP70;NFKBIZ;IGLC7;CD27;IGHV4-4;IGHV3-30;CLU;INPP5D;IGHV3-64;IGHV4-28;C3;IGHV3-43;ATAD5;IGHV3-73;IGHV4-31;TNF;IGHV3-66;BATF;GAPT;SLA2;C4BPA;CD74;TBX21;TGFB1;LTA;IGHV1-24;IGHV2-26
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;respiratory electron transport chain;electron transport chain	ISCU;NDUFS1;SDHB;DLD;NDUFA10;UQCRQ;NDUFS4;NDUFV3;UQCR10;NDUFA9;UQCRFS1P1;UQCRH;NDUFA5;COX7A2L;NDUFA7;SDHA;SDHAF2;NDUFB10;NDUFB7;NDUFB5;NDUFS5;COX5B;NDUFA3;COX6A2;COX7A1;NDUFB9;UQCRC2;SDHD;NDUFA2;NDUFAF1;DNAJC15;UQCRFS1;PINK1;NDUFA1;COQ9;SDHC;COX4I1;UQCC3;PARK7;NDUFC1;COX15;COX6B1;CYC1;NDUFS8;NDUFAB1;NDUFS7;UQCRC1;CYCS;NDUFV2;NDUFV1;NDUFA6;NDUFB1;NDUFS6;UQCR11;NDUFB3;NDUFB8;UQCRB;COX5A;NDUFA8;COX8A;COX7C;SLC25A51;COX7B;COX6C;NDUFB4;NDUFS2;NDUFB6;NDUFA4;NDUFB2;NDUFC2;NDUFA12;GHITM;CHCHD2;COA6;PLEC;SCO2;ETFB;MYBBP1A;ETFA;SOD2;ETFRF1;SURF1;COX11;CYP19A1;FDX2;IDH3B;THAP11;AKR7A2;ME1;WDR93;AKR1B1;ME2;FDX1;QDPR;CYB561
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	NDUFV3;NDUFA12;NDUFA9;NDUFB11;NDUFA5;NDUFA7;NDUFB10;NDUFB7;NDUFB5;NDUFS5;NDUFA3;NDUFB9;NDUFA2;NDUFAF1;NDUFA1;NDUFC1;NDUFA13;NDUFS8;NDUFAB1;NDUFS7;NDUFV2;NDUFV1;NDUFA6;NDUFB1;DMAC2;NDUFS6;NDUFB3;NDUFB8;NDUFA8;FOXRED1;NDUFB4;DMAC1;NDUFS2;WDR93;NDUFB6;NDUFA4;NDUFA11;NDUFB2;NDUFC2
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit;large ribosomal subunit	MRPL34;MRPL54;MRPL11;MRPL21;MRPL52;MRPL9;MRPL40;MRPL2;MRPL22;MRPL18;MRPL19;MRPL33;MRPL45;MRPL47;MRPL17;MRPL49;MRPL27;MRPL35;MRPS30;MRPS18A;MRPL51;MRPL38;MRPL55;MRPL58;MRPL1;MRPL15;MRPL39;MRPL13;MRPL44;MRPL16;GADD45GIP1;MRPL3;MRPL4;MRPL36;MRPL12;MRPL20;MRPL37;MRPL43;MRPL30;MRPL24;MRPL14;MRPL28;MRPL10;MRPL57;MRPL48;RPL37A;RPL3L;RPLP0P6;RPL7L1;RSL1D1;RPL26L1;NPM1;NHP2;SNU13
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds	ISCU;ANTKMT;NDUFS1;NNT;SDHB;SIRT3;DLD;DLAT;MACROH2A1;NDUFA10;SUCLA2;UQCRQ;IDH3G;ACO2;UQCC2;NDUFS4;MLXIPL;MDH1;OGDH;ATP5PD;SURF1;NDUFV3;UQCR10;DLST;NDUFA12;NDUFA9;UQCRFS1P1;MDH1B;UQCRH;NDUFB11;ADSL;OXA1L;ATP5ME;NDUFA5;COX7A2L;NDUFA7;SDHA;ATP5F1A;SDHAF2;NDUFB10;NDUFB7;ACO1;GHITM;NDUFB5;NDUFS5;STOML2;ATP5F1D;ATP5F1EP2;SUCLG1;COX5B;ATP5PB;NDUFA3;PPIF;FXN;COX6A2;HIF1A;IDH3A;COX7A1;NDUFB9;UQCRC2;SDHD;ATP5PO;COX10;IDH3B;VCP;NDUFA2;NDUFAF1;ATP5PF;DNAJC15;UQCRFS1;PINK1;IDE;NDUFA1;MSH2;COQ9;SDHC;CS;ATP5MG;PDHB;COX4I1;UQCC3;IDH2;PARK7;ATP5F1E;NDUFC1;NDUFA13;FH;COX15;ATP5MF;COX6B1;ATP5F1B;CYC1;NDUFS8;NDUFAB1;NDUFS7;UQCRC1;CYCS;NDUFV2;CHCHD10;PDHA1;NDUFV1;NDUFA6;NDUFB1;NDUFS6;NIPSNAP2;UQCR11;NDUFB3;ATP5F1C;NDUFB8;TEFM;UQCRB;COX5A;NDUFA8;COX8A;COX7C;SLC25A51;COX7B;COX6C;NDUFB4;ABCD1;NDUFS2;NDUFB6;NDUFA4;NDUFA11;CHCHD2;DNAJC30;OGDHL;COA6;NDUFB2;MDH2;NDUFC2;SLC25A23;GPD1;NR4A3;TRAP1;PLEC;IFNLR1;SCO2;CHCHD4;ETFB;SDHAF4;PRELID1;MYBBP1A;CHCHD5;ETFA;SOD2;MTLN;ETFRF1;CISD1;PNPT1;LYRM7;OPN3;PPP1CA;STBD1;MT3;PPP1R3C;AGL;PPP1R3D;PPP1R3F;MTOR;PRLH;TIGAR;GYG1;GFPT2;PFKM;GCK;GBE1;PPP1R2;LEP;MC4R;GYS2;NHLRC1;PHLDA2;GNMT;ACADM;GSK3B;STK40;AKT2;PHKA1;PHKB;PYGM;PHKG1;UGP2;PPP1R1A;PPP1R3G;PPP1CC
