representative	grouped_terms	genes
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;mitochondrial respirasome;respirasome;respiratory chain complex;respiratory electron transport chain;electron transport chain	NDUFA7;NDUFB8;NDUFB10;AFG1L;UQCR10;PINK1;COX6B1;COX8A;NDUFAB1;NDUFV1;COX5A;NDUFS5;COQ9;COX7A2;NDUFC1;NDUFA10;NDUFAF1;COX15;CYCS;NDUFA2;COX5B;NDUFA8;UQCRB;UQCRQ;NDUFB2;NDUFV2;COX6C;COX4I1;NDUFV3;NDUFA4;UQCRH;NDUFB6;NDUFB1;UQCRFS1;UQCRC1;UQCRC2;DNAJC15;NDUFS2;NDUFB9;NDUFB3;NDUFS4;NDUFA1;SDHA;SDHC;NDUFA9;DLD;COX7B;COX7C;SDHD;SDHB;NDUFB5;NDUFB4;NDUFA5;ISCU;COA6;GHITM;DMAC1;FOXRED1;NNT;HIGD1A;ETFB;ETFDH;ETFA;COX11;MAOB;ALDH2;ETFRF1;IDH3B;SLC25A12;FDX1;QDPR;ME2
aerobic respiration	aerobic respiration;energy derivation by oxidation of organic compounds;cellular respiration;generation of precursor metabolites and energy	COA6;NDUFV1;COX5A;DHTKD1;DLAT;NDUFS5;ATP5MF;COQ9;ACO2;COX7A2;ATP5F1E;NDUFC1;ATP5ME;NDUFA10;NDUFAF1;COX15;PDHA1;CYCS;BNIP3;ME3;NDUFA2;COX5B;NDUFA8;UQCRB;UQCRQ;ATP5F1B;DLST;NDUFB2;NDUFV2;COX6C;AK4;COX4I1;NDUFV3;NDUFA4;CAT;UQCRH;SUCLG1;NDUFB6;NDUFB1;UQCRFS1;UQCRC1;FH;ATP5F1A;UQCRC2;SUCLG2;ATP5PB;DNAJC15;NDUFS2;NDUFB9;NDUFB3;CS;NDUFS4;NDUFA1;IDH3B;GHITM;ATP5PD;SDHA;SDHC;PDHB;NDUFA9;ATP5F1C;DLD;ATP5PO;COX7B;COX7C;SIRT3;SDHD;SDHB;FXN;SUCLA2;NDUFB5;NDUFB4;NNT;IDE;NDUFA5;ISCU;NIPSNAP2;ATP5PF;CISD1;ETFB;ETFDH;COQ10A;CHCHD4;ETFA;SDHAF4;ETFRF1;ACADM;SLC25A12;ACADVL;OXCT1;HMGCS2;SLC25A4;COX11;MAOB;ALDH2;ACAT1;FDX1;QDPR;ME2;FECH
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;nucleoside triphosphate biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;ATP metabolic process;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process;purine nucleoside triphosphate metabolic process;nucleoside triphosphate metabolic process	NDUFS5;ATP5MF;ATP5MJ;ATP5F1E;NDUFC1;ATP5ME;NDUFA10;NDUFA2;NDUFA8;ATP5F1B;NDUFB2;NDUFV2;NDUFV3;ATP5MK;NDUFB6;ATP5MC3;NDUFB1;ATP5F1A;ATP5PB;NDUFS2;NDUFB9;NDUFB3;NDUFS4;NDUFA1;ATP5PD;SDHA;SDHC;NDUFA9;ATP5F1C;ATP5PO;SDHD;SDHB;NDUFB5;NDUFB4;NDUFA5;ATP5PF;COX11;DMAC2L;AK4;AK3;NDUFV1;DHTKD1;CLPX;MFN1;OPA1
NADH dehydrogenase activity	NADH dehydrogenase activity;mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase (quinone) activity;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor;oxidoreductase activity, acting on NAD(P)H	NDUFV1;NDUFS5;NDUFC1;NDUFA10;NDUFA2;NDUFA8;NDUFB2;NDUFV2;NDUFV3;NDUFA4;AIFM1;NDUFB6;NDUFB1;NDUFS2;NDUFB9;NDUFB3;NDUFS4;NDUFA1;NDUFA9;NDUFB5;NDUFB4;NDUFA5;NDUFAB1;DMAC1;NDUFAF1;FOXRED1;CBR4;CRYZ;COX15;NNT
organic acid metabolic process	organic acid metabolic process;oxoacid metabolic process;carboxylic acid metabolic process	ME3;ETFB;EHHADH;DBT;ECHDC1;ACSL1;DGLUCY;BCKDHB;ETFDH;MRS2;TST;MTARC1;ADHFE1;LDHD;DLST;NUDT19;HAGH;NUDT8;L2HGDH;HSD17B4;ALDH6A1;ETFA;ACSL6;ECHS1;ABCD2;PRODH;ACAA2;CRAT;PDHX;FH;MMUT;SUCLG2;GCSH;DECR1;CS;VDAC1;LDHB;MCCC1;IDH3B;HOGA1;SDHA;ACOT2;PDHB;CBR4;ACADSB;PCCA;ACAT1;HADHA;DLD;ACADM;PCCB;HIBADH;SLC25A12;ABHD10;GOT2;HADHB;PHYH;SUCLA2;RIDA;QDPR;MCEE;SDHAF3;CPT1B;ACSM5;ACADVL;SCP2;HADH;SIRT4;NIT2;AUH;HIBCH;ME2;ALDH5A1;OXSM;GPT2;LIPT2;PPA2;MGST3;DBI;AMACR
monocarboxylic acid catabolic process	monocarboxylic acid catabolic process;fatty acid catabolic process;cellular lipid catabolic process;lipid catabolic process	ETFB;EHHADH;ECHDC1;ETFDH;LDHD;NUDT19;NUDT8;HSD17B4;ETFA;ECHS1;ABCD2;ACAA2;CRAT;DECR1;HOGA1;PCCA;ACAT1;HADHA;ACADM;PCCB;HADHB;PHYH;MCEE;CPT1B;ACADVL;SCP2;HADH;AUH;AMACR;FMC1
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process;small molecule catabolic process	ETFB;EHHADH;DBT;ECHDC1;BCKDHB;ETFDH;TST;ADHFE1;LDHD;DLST;NUDT19;NUDT8;HSD17B4;ALDH6A1;ETFA;ECHS1;ABCD2;PRODH;ACAA2;CRAT;GCSH;DECR1;MCCC1;HOGA1;ACADSB;PCCA;ACAT1;HADHA;DLD;ACADM;PCCB;HIBADH;GOT2;HADHB;PHYH;RIDA;QDPR;MCEE;CPT1B;ACADVL;SCP2;HADH;AUH;HIBCH;ALDH5A1;GPT2;AMACR;HAGH;ALDH2
fatty acid oxidation	fatty acid oxidation;lipid oxidation;lipid modification;fatty acid beta-oxidation	ETFB;EHHADH;ECHDC1;ETFDH;HSD17B4;ETFA;ECHS1;ABCD2;ACAA2;CRAT;DECR1;ACAT1;HADHA;ACADM;HADHB;PHYH;CPT1B;ACADVL;SCP2;HADH;SIRT4;AUH;AMACR;EPHX2
purine ribonucleotide metabolic process	purine ribonucleotide metabolic process;ribonucleotide metabolic process;ribose phosphate metabolic process;purine nucleotide metabolic process;purine-containing compound metabolic process	DHTKD1;DLAT;NDUFS5;ATP5MF;GCDH;ATP5MJ;ATP5F1E;NDUFC1;HMGCS2;ATP5ME;NDUFA10;PDHA1;MFN1;NDUFA2;ACSL1;NDUFA8;ATP5F1B;DLST;NUDT19;OPA1;NDUFB2;NUDT8;NDUFV2;HSD17B4;ACSL6;AK4;NDUFV3;ATP5MK;AK3;SUCLG1;CLPX;NDUFB6;ATP5MC3;NDUFB1;PDHX;MMUT;ATP5F1A;COX11;SUCLG2;ATP5PB;NDUFS2;NDUFB9;NDUFB3;NDUFS4;NDUFA1;ATP5PD;SDHA;ACOT2;SDHC;PDHB;NDUFA9;ACAT1;ATP5F1C;DLD;ATP5PO;SDHD;SDHB;SUCLA2;DMAC2L;NDUFB5;NDUFB4;MCEE;ACSM5;NDUFA5;ATP5PF;OXSM;FHIT;NMNAT3;LDHB;NNT;NADK2;ME2
leukocyte activation	leukocyte activation;cell activation;lymphocyte activation	SLC25A5;PRELID1;SPHK2;BAK1;PDP2;BAX;KARS1;PHB2;BID;CASP3;CASP8;BCL2;HSPD1;BAD
