representative	grouped_terms	genes
positive regulation of programmed cell death	positive regulation of programmed cell death;positive regulation of apoptotic process	BCL2A1;SPHK2;BID;BOK;BAD;BBC3;MCL1;BAX;FIS1;STYXL1;PMAIP1;PRELID1;BAK1;BCL2L11;TSPO;SEPTIN4;CASP3;MTCH1;DIABLO;CASP8;HTATIP2;BNIP3L;AIFM2;BCL2;PTRH2
positive regulation of intrinsic apoptotic signaling pathway	positive regulation of intrinsic apoptotic signaling pathway;positive regulation of apoptotic signaling pathway	BID;BOK;BAD;BBC3;MCL1;BAX;FIS1;STYXL1;PMAIP1;BCL2L11;SEPTIN4
positive regulation of signal transduction	positive regulation of signal transduction;positive regulation of cell communication;positive regulation of signaling;positive regulation of response to stimulus	SPHK2;BID;BOK;GPX1;BAD;MAVS;BBC3;MCL1;FKBP8;BAX;FIS1;STYXL1;PMAIP1;CYP27B1;BAK1;BCL2L11;SEPTIN4;PDE2A
vesicle membrane	vesicle membrane;cytoplasmic vesicle membrane	MGST1;ATAD3B;BOK;RAB24;PICK1;BCL2L1;STOM;ABCB6
intrinsic apoptotic signaling pathway in response to DNA damage	intrinsic apoptotic signaling pathway in response to DNA damage;signal transduction in absence of ligand;extrinsic apoptotic signaling pathway in absence of ligand	BCL2A1;BID;BOK;BAD;MCL1;BAX;BCL2L1;BAK1;BCL2L11;BCL2L2
aerobic respiration	aerobic respiration;energy derivation by oxidation of organic compounds;cellular respiration;generation of precursor metabolites and energy	STOML2;IDH2;AK4;COQ9;PINK1;OXA1L;DNAJC15;NDUFV2;PARK7;ISCU;UQCRC1;COX7C;COX15;NDUFA4;PPIF;ATP5PF;COA6;OGDH;DLAT;ACO2;NDUFAB1;COX7B;COX10;NDUFB3;SLC25A23;ATP5PO;SDHA;IDH3A;IDE;UQCRH;ATP5F1B;SUCLG1;DLST;NDUFS4;NDUFB4;FXN;ATP5F1A;IDH3B;NDUFA5;CYCS;MFN2;NDUFS2;NNT;SDHB;NDUFA9;PDHA1;CS;NDUFB6;NIPSNAP2;UQCRC2;NDUFB5;UQCRFS1;SDHC;GHITM;CAT;DLD;SUCLA2;FH;PDHB;AFG1L;ATP5PB;SUCLG2;SDHD;ATP5F1C;NDUFAF1;CHCHD4;ACADVL;SLC25A12;ETFDH;ETFRF1;ETFA;CISD1;TRAP1;LYRM7;ACADM;QDPR;ALDH2;SLC25A4;MAOB;OXCT1;ACAT1;FECH;COX11;ME2;FDX1
regulation of cell communication	regulation of cell communication;regulation of signaling;regulation of signal transduction	SPHK2;BID;BOK;GPX1;BAD;SLC25A6;SLC25A22;MAVS;BBC3;MCL1;FKBP8;BAX;SLC8B1;FIS1;PDE2A;PICK1;BCL2L1;STYXL1;PMAIP1;PRELID1;CYP27B1;SDHAF2;BAK1;BCL2L11;TSPO;BCL2L2;SEPTIN4;MTCH1
regulation of apoptotic process	regulation of apoptotic process;regulation of programmed cell death;cell death;programmed cell death;apoptotic process	BCL2A1;SPHK2;GFER;BID;BOK;GPX1;BAD;SLC25A6;BBC3;MCL1;FKBP8;BAX;FIS1;ATAD3A;BCL2L1;STYXL1;PMAIP1;PRELID1;BAK1;BCL2L11;TSPO;BCL2L2;SEPTIN4;CASP3;MTCH1;SLC25A27;DIABLO;CASP8;OGG1;HTATIP2;BNIP3L;AIFM2;BCL2;PTRH2;GOLPH3;FABP1;HIGD2A;PYCR1;PHB2;CASP9;MUTYH;GPX4;NME3;RHOT2;FASTK;AIFM3;RMDN3;THEM4;SPG7;NUDT2;COA8
regulation of intrinsic apoptotic signaling pathway	regulation of intrinsic apoptotic signaling pathway;regulation of apoptotic signaling pathway;intrinsic apoptotic signaling pathway;regulation of intracellular signal transduction	BID;BOK;GPX1;BAD;BBC3;MCL1;BAX;FIS1;BCL2L1;STYXL1;PMAIP1;BCL2L11;BCL2L2;SEPTIN4;SLC25A6;PRELID1;BAK1;BCL2A1;CASP3;SPHK2;MAVS;PDE2A
positive regulation of endopeptidase activity	positive regulation of endopeptidase activity;regulation of endopeptidase activity;positive regulation of peptidase activity;positive regulation of cysteine-type endopeptidase activity;regulation of peptidase activity;positive regulation of proteolysis;regulation of cysteine-type endopeptidase activity;positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;regulation of proteolysis	BID;BOK;BAD;BBC3;BAX;FIS1;PMAIP1;PRELID1;BAK1;MTCH1;DIABLO;CASP8;GPX1;AURKAIP1
branched-chain amino acid catabolic process	branched-chain amino acid catabolic process;branched-chain amino acid metabolic process	ALDH6A1;BCKDHB;DBT;ACADSB;ACAT1;AUH;DLD;MCCC1;HIBADH;HIBCH;PCCB;PCCA
regulation of mitochondrial membrane permeability	regulation of mitochondrial membrane permeability;regulation of membrane permeability	BID;BOK;BAD;SLC25A6;BAX;RHOT2;BCL2L1;PMAIP1;BAK1;BCL2L11;BCL2L2;THEM4;SPG7;BNIP3L;BCL2
release of cytochrome c from mitochondria	release of cytochrome c from mitochondria;apoptotic mitochondrial changes	BCL2A1;BID;BOK;GPX1;BAD;BBC3;MCL1;BAX;FIS1;BCL2L1;PMAIP1;PRELID1;BAK1;BCL2L11;BCL2L2;SLC25A6;RHOT2;THEM4
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport	COX8A;NDUFA1;NDUFA8;NDUFC1;COX7A2;NDUFB9;COX5A;NDUFV1;UQCRB;COQ9;PINK1;DNAJC15;NDUFV2;PARK7;ISCU;UQCRC1;COX7C;COX15;NDUFA4;NDUFAB1;COX7B;NDUFB3;SDHA;UQCRH;NDUFS4;NDUFB4;NDUFA5;CYCS;NDUFS2;SDHB;NDUFA9;NDUFB6;UQCRC2;NDUFB5;UQCRFS1;SDHC;DLD;AFG1L;SDHD;NDUFAF1;NDUFA12;CHCHD2;COA6;GHITM
bounding membrane of organelle	bounding membrane of organelle;outer membrane;organelle outer membrane;mitochondrial outer membrane	BCL2A1;BLOC1S1;MGST1;SPHK2;ABCD1;BID;ATAD3B;BOK;BAD;NME3;MAVS;MCL1;RAB24;BAX;MGARP;QTRT1;RHOT2;FIS1;COASY;TAFAZZIN;PDE2A;PICK1;BCL2L1;TOMM6;PMAIP1;THG1L;MIGA2;GPAT2;CYP27B1;AGPAT4;RMDN3;STOM;BAK1;BCL2L11;ABCB6;TSPO;TOMM40;BCL2L2;SEPTIN4;MTCH1;CASP8;LETMD1;MICOS10;SFXN2;BNIP3L;DCAKD;MICOS13;AIFM2;BCL2;PTRH2;GOLPH3
lytic vacuole	lytic vacuole;lysosome;vacuole	BLOC1S1;MGST1;SPHK2;ABCD1;BBC3;AKR1B10;STOM;ABCB6;RAB24
chromatin remodeling	chromatin remodeling;chromatin organization;protein-DNA complex organization	SPHK2;GPX1;ANTKMT;PICK1;NUDT5;GPX4
leukocyte activation	leukocyte activation;cell activation	SPHK2;BID;BAD;BAX;PRELID1;BAK1;CASP3;CASP8;BCL2;PDP2;PHB2
sex differentiation	sex differentiation;reproductive structure development;reproductive system development	BOK;BAX;BCL2L1;BAK1;BCL2L11;BCL2L2;CASP3
purine ribonucleoside triphosphate binding	purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;carbohydrate derivative binding	NME4;SELENOO;SPHK2;ABCD1;ATAD3B;NME3;GUK1;RAB24;ACSF3;PC;CARS2;RHOT2;PIF1;ABCA9;FPGS;MMAB;CKMT1B;COASY;ATAD3A;TK2;DTYMK;NAXD;RECQL4;ADCK2;FASTK;ARL2;GTPBP3;THG1L;MOCS1;FLAD1;GLYCTK;GATC;ABCB6;ARF5;MTG2;SEPTIN4;TRMU;MTG1;PGS1;RCC1L;GTPBP6;CMPK2;BCS1L;COQ8B;SPG7;PDE2A
blood vessel development	blood vessel development;vasculature development	SPHK2;GPX1;FKBP10;BAX;PDE2A;BAK1;COMT;CASP8;HTATIP2
localization	localization;transport	BCL2A1;BLOC1S1;MGST1;NME4;SPHK2;ABCD1;BID;SLC25A28;BOK;SLC25A37;BAD;SLC25A6;TIMM13;SLC25A22;MAVS;MCL1;FKBP8;MCUB;RAB24;BAX;SLC8B1;MGARP;ANTKMT;RHOT2;SLC25A25;ABCA9;FIS1;SLC25A43;SFXN3;SLC25A1;PICK1;SLC25A39;PRELID3A;BCL2L1;TOMM6;SLC25A10;PMAIP1;ARL2;SLC25A42;SLC25A38;SLC25A29;PRELID1;CYP27B1;TIMM29;STOM;BAK1;BCL2L11;ABCB6;PISD;TSPO;ARF5;TOMM40;SFXN5;BCL2L2;SEPTIN4;ROMO1;MTCH1;BCS1L;SLC25A18;THEM4;COMT;SLC25A27;SPG7;TIMM10B;SLC25A45;LETMD1;ATP5F1D;SLC25A16;YRDC;HTATIP2;AKAP10;LETM1;COA8;SFXN2;BNIP3L;SLC25A14;UQCC2
signal transduction	signal transduction;signaling;cell communication	BCL2A1;SPHK2;GFER;BID;BOK;GPX1;BAD;SLC25A6;MAVS;BBC3;MCL1;FKBP8;BAX;RHOT2;FIS1;PDE2A;PICK1;BCL2L1;STYXL1;PMAIP1;FASTK;PRELID1;CYP27B1;SDHAF2;BAK1;BCL2L11;BCL2L2;SEPTIN4;CASP3;MTCH1;THEM4;DIABLO;CASP8;SLC25A22;SLC8B1;TSPO;COMT;CEP89
