representative	grouped_terms	genes
organellar ribosome	organellar ribosome;mitochondrial ribosome;ribosomal subunit	MTG1;MRPL33;MRPL22;MRPL47;MRPL51;MRPS25;AURKAIP1;MRPS15;MRPS21;MRPL14;MRPL54;MTG2;MRPL17;MRPL46;MRPL41;MRPL40;MRPS27;NSUN3;MRPL13;NDUFA7;MRPS11;MRPS26;MRPL2;MRPS5;MRPL4;MRPL30;MRPL20;MRPL57;MRPS24;MRPS18A;MRPL34;MRPL58;MRPS33;MRPS2;MRPS12;MRPS16;MRPL36;MRPS9;MRPL39;MRPS22;MRPL43;MRPL15;MRPL11;MRPS18B;MRPS30;MRPS23;MRPL35;MRPL9;MRPS10;MRPL1;MRPL28;MRPS34;MRPL21;MRPL44;MRPS35;MRPL32;MRPS17;MRPL48;CHCHD1;MRPL50;MRPL19;MRPS28;MRPS31;MRPL16;MRPS18C;MRPS14;MRPL27;RPL36AL;ZCCHC17;SNU13;RPL7L1;IMP3
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process	NDUFV3;ATP5MK;NDUFA3;SDHA;NDUFB2;VPS9D1;ATP5ME;NDUFS6;NDUFS2;NDUFB11;NDUFA12;NDUFB8;NDUFA13;ATP5PD;ATP5MC1;ANTKMT;NDUFA7;NDUFA9;ATP5F1E;SDHB;ATP5MC2;NDUFB7;NDUFS4;ATP6V0C;ATP5PO;NDUFA2;ATP5MJ;ATP5MF;ATP5PF;DNAJC30;NDUFA1;ATP5F1D;NDUFB9;NDUFB5;NDUFB3;ATP5F1B;ATP5F1A;ATP5MG;ATP5PB;NDUFA6;NDUFS1;NDUFA8;NDUFB4;NDUFS8;STOML2;NDUFS5;ATPSCKMT;NDUFC1;ATP6V1A;NDUFV2;ATP5MC3;SDHC;NDUFS3;SDHD;NDUFB1;NDUFB6;NDUFC2;ATP5F1C;NDUFB10;NDUFAB1;NDUFA5;NUDT2;PPARA;VCP;LDHC;DMAC2L;COX11;UQCC3;PARP1;NME6;NME7;NME5;AK1;AK3
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;aerobic electron transport chain;respiratory electron transport chain	NDUFV3;UQCR11;NDUFA3;SDHA;NDUFB2;COX8C;NDUFS6;COQ9;COX4I1;UQCRC1;NDUFS2;COX7A2L;NDUFA12;CYC1;NDUFB8;COX7A1;NDUFA7;COX15;NDUFA9;SDHB;NDUFB7;NDUFS4;UQCRH;COX5A;COX5B;NDUFA2;ISCU;COX7A2;COX6A2;UQCRC2;UQCRHL;UQCRFS1P1;NDUFA1;NDUFB9;NDUFB5;NDUFB3;UQCR10;DLD;NDUFA6;NDUFS1;UQCRFS1;NDUFA8;COX8A;NDUFB4;NDUFS8;NDUFS5;NDUFC1;COX7B;NDUFA4;NDUFV2;SDHC;AFG1L;NDUFS3;COX7C;SDHD;NDUFAF1;GHITM;CDK1;NDUFB1;COA6;NDUFB6;CYCS;NDUFC2;COX6A1;SDHAF2;UQCRB;UQCC3;NDUFB10;NDUFAB1;COX6C;CCNB1;NDUFA5;DNAJC15;SOD2;ETFDH;GPD2;ETFB;ETFRF1;PUM2;SLC25A12
respirasome	respirasome;mitochondrial respirasome;respiratory chain complex	DMAC1;NDUFV3;UQCR11;NDUFA3;SDHA;NDUFB2;HIGD2A;COX8C;NDUFS6;TTC19;COX4I1;UQCRC1;NDUFS2;COX7A2L;NDUFB11;NDUFA12;CYC1;NDUFB8;NDUFA13;COX7A1;RAB5IF;NDUFA7;HIGD1A;COX15;NDUFA9;SDHB;NDUFB7;NDUFS4;UQCRH;COX5A;COX5B;NDUFA2;COX7A2;COX6A2;UQCRC2;UQCRHL;UQCRFS1P1;NDUFA1;NDUFB9;NDUFB5;NDUFB3;UQCR10;NDUFA6;NDUFS1;UQCRFS1;NDUFA8;COX8A;NDUFB4;NDUFS8;NDUFS5;NDUFC1;C15orf48;COX7B;NDUFA4;NNT;NDUFV2;SDHC;NDUFS3;COX7C;SDHD;NDUFAF1;NDUFB1;FOXRED1;COA6;DMAC2;NDUFB6;CYCS;NDUFC2;COX6A1;UQCRB;UQCC3;NDUFB10;NDUFAB1;COX6C;NDUFA5;STMP1
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	NDUFS2;TMEM126A;NDUFB11;NDUFA12;NDUFB8;NDUFA13;COA1;OXA1L;NDUFA9;NDUFB7;NDUFS4;NDUFAF4;TMEM126B;LYRM2;NDUFA2;ECSIT;TIMM21;NDUFA1;NDUFB9;NDUFB5;NDUFB3;NDUFAF6;NDUFA6;NDUFS1;NDUFA8;NDUFB4;NDUFS8;NDUFS5;NDUFC1;NDUFS3;NDUFAF1;NDUFB1;FOXRED1;DMAC2;NDUFB6;NDUFAF3;NUBPL;NDUFC2;NDUFB10;NDUFAB1;TMEM186;NDUFA5
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds	ACO1;SDHA;NDUFB2;MACROH2A1;ADSL;ATP5ME;COX8C;NDUFS6;COQ9;VCP;HIF1A;COX4I1;UQCRC1;NDUFS2;COX7A2L;NDUFB11;NDUFA12;CYC1;NDUFB8;NDUFA13;ATP5PD;COX7A1;ANTKMT;NDUFA7;COX15;IDH3A;OXA1L;NDUFA9;SUCLG1;ATP5F1E;FH;SDHB;NDUFB7;NDUFS4;IREB2;ME3;UQCRH;OGDHL;TNF;COX5A;COX5B;ATP5PO;NDUFA2;ISCU;COX7A2;COX6A2;ATP5MF;ACO2;UQCRC2;IDH3G;UQCRHL;MDH1;ATP5PF;UQCRFS1P1;DNAJC30;DLAT;NDUFA1;ATP5F1D;NDUFB9;MLXIPL;NDUFB5;NDUFB3;MDH2;IDH1;ATP5F1B;IDH3B;UQCR10;ATP5F1A;ATP5MG;PPIF;CS;DLST;DLD;ATP5PB;CHCHD10;NDUFA6;NDUFS1;UQCRFS1;NDUFA8;COX8A;NDUFB4;TEFM;NDUFS8;IDE;STOML2;NDUFS5;MTFR2;ATPSCKMT;MDH1B;NDUFC1;COX7B;NDUFA4;NNT;NDUFV2;SDHC;AFG1L;NDUFS3;OGDH;COX7C;ABCD1;SDHD;NDUFAF1;GHITM;CDK1;NDUFB1;PDHA1;COA6;NIPSNAP2;NDUFB6;CYCS;NDUFC2;COX6A1;SDHAF2;MSH2;ATP5F1C;UQCRB;UQCC3;SUCLA2;NDUFB10;PDHB;NDUFAB1;COX6C;COX10;CAT;CCNB1;SLC25A33;FXN;NDUFA5;DNAJC15;MTLN;ETFDH;SDHAF4;GPD2;SLC25A25;ETFB;CISD1;CHCHD5;ETFRF1;PUM2;CHCHD4;SLC25A12;COQ10A;LYRM7;ADGRF5;IRS1;POMC;PHKA1;PPP1R2;STBD1;GSK3A;LEPR;PHKG1;GNMT;MTOR;PYGM;PPP1R1A;PHKB;PFKM;ACADM;GSK3B;PPP1R3D;AGL;NHLRC1;PPP1CC;PPP1R3A
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase (ubiquinone) activity;NAD(P)H dehydrogenase (quinone) activity;mitochondrial electron transport, NADH to ubiquinone;NADH dehydrogenase activity;NADH dehydrogenase (quinone) activity	DMAC1;NDUFV3;NDUFA3;NDUFB2;NDUFS6;NDUFS2;NDUFB11;NDUFA12;NDUFB8;NDUFA13;NDUFA7;NDUFA9;NDUFB7;NDUFS4;NDUFA2;NDUFA1;NDUFB9;NDUFB5;NDUFB3;NDUFA6;NDUFS1;NDUFA8;NDUFB4;NDUFS8;NDUFS5;NDUFC1;NDUFA4;NDUFV2;NDUFS3;NDUFAF1;NDUFB1;FOXRED1;DMAC2;NDUFB6;NDUFC2;NDUFB10;NDUFAB1;NDUFA5;CBR4;CBR3;NQO2;NQO1;COQ9;ISCU;DLD;DNAJC15;AIFM1
organellar small ribosomal subunit	organellar small ribosomal subunit;mitochondrial small ribosomal subunit;small ribosomal subunit	MRPS25;AURKAIP1;MRPS15;MRPS21;MRPS27;MRPS11;MRPS26;MRPS5;MRPS24;MRPS18A;MRPS33;MRPS2;MRPS12;MRPS16;MRPS9;MRPS22;MRPS18B;MRPS23;MRPS10;MRPS34;MRPS35;MRPS17;CHCHD1;MRPS28;MRPS31;MRPS18C;MRPS14;IMP3
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit;large ribosomal subunit	MRPL23;MRPL24;MRPL55;MPV17L2;MTERF4;MRPL33;MRPL22;MRPL47;MRPL51;MRPL14;MRPL54;MRPL17;MRPL46;MRPL41;MRPL40;NSUN3;MRPL13;MRPL2;MRPL4;MRPL30;MRPL20;MRPL57;MRPS18A;MRPL34;MRPL58;MRPL36;MRPL39;MRPL43;MRPL15;MRPL11;MRPS30;MRPL35;MRPL9;MRPL1;MRPL28;MRPL21;MRPL44;MRPL32;MRPL48;MRPL50;MRPL19;MRPL16;MRPL27;RPL36AL;ZCCHC17;SNU13;RPL7L1
purine ribonucleotide biosynthetic process	purine ribonucleotide biosynthetic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;purine-containing compound biosynthetic process;nucleotide biosynthetic process;nucleoside phosphate biosynthetic process;purine nucleotide biosynthetic process	PAICS;ACSBG2;NDUFV3;ATP5MK;HACD2;NUDT2;AK1;PDK2;NDUFA3;MMUT;GUCY1A1;MLYCD;MTHFD1;SDHA;ELOVL1;NDUFB2;VPS9D1;ADSL;PPARA;PPCS;ATP5ME;NDUFS6;VCP;ADSS1;APRT;NDUFS2;NDUFB11;NDUFA12;NDUFB8;NDUFA13;ATP5PD;ATP5MC1;ADCY4;ANTKMT;ACSL3;NDUFA7;NDUFA9;ATP5F1E;LDHC;ACACB;SDHB;ATP5MC2;NDUFB7;NDUFS4;ATP6V0C;TECR;GCDH;ATP5PO;DMAC2L;NDUFA2;ATP5MJ;ATP5MF;AK3;ATP5PF;COX11;DNAJC30;DLAT;NDUFA1;MPC2;ATP5F1D;HACD1;NDUFB9;AMPD3;NDUFB5;NDUFB3;ATP5F1B;ATP5F1A;ATP5MG;DLD;ATP5PB;NDUFA6;NDUFS1;NDUFA8;NDUFB4;NDUFS8;STOML2;NME6;NDUFS5;ATPSCKMT;NDUFC1;ATP6V1A;NDUFV2;ATP5MC3;SDHC;ADCY9;NDUFS3;SDHD;ELOVL3;NPPC;NDUFB1;PDHA1;NDUFB6;NDUFC2;ATP5F1C;NME7;ACAT1;UQCC3;NDUFB10;PDHB;NDUFAB1;PANK1;NPR1;ACSL6;PANK4;NME5;PARP1;NDUFA5;RFK;UMPS;UPRT;DHODH;G6PD;SLC22A13;ADAL;NMNAT1;ADA2;NMNAT3;QPRT;NAPRT;NMNAT2;NUDT12;MTHFD2L;NADK2;RRM1;FLAD1;AK9;ME1;AK6;ENTPD8;TK1
NAD(P)H dehydrogenase (quinone) activity	NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor;NADH dehydrogenase activity;NADH dehydrogenase (quinone) activity	NDUFV3;NDUFA3;NDUFB2;NDUFS6;NDUFS2;NDUFA12;NDUFB8;NDUFA7;NDUFA9;NDUFB7;NDUFS4;NDUFA2;NDUFA1;NDUFB9;NDUFB5;NDUFB3;CBR4;NDUFA6;NDUFS1;NDUFA8;NDUFB4;NDUFS8;NDUFS5;NDUFC1;NDUFA4;NDUFV2;NDUFS3;NDUFB1;NDUFB6;NDUFC2;CBR3;NDUFB10;NQO2;NDUFA5;NQO1;TP53I3;CRYZ;AKR1C3;CBR1;AKR1C1;AIFM1
peroxisome	peroxisome;microbody	NBR1;ABCD2;DNM1L;IDH2;MVK;ECI2;ACOXL;AMACR;ACOT4;ACBD5;PNPLA8;RIDA;PEX12;ECH1;MLYCD;HSDL2;PEX10;DDO;AGPS;GRHPR;EPHX2;LONP2;PEX19;ATAD1;EHHADH;ACSL3;SCP2;CRAT;HACL1;GNPAT;TRIM37;ALDH3A2;PEX5;NUDT7;DHRS7B;PIK3C3;PEX13;PRDX5;MFF;PMVK;PEX14;TYSND1;IDH1;ACOT8;PEX11G;ACOT2;TTC1;PHYH;ACAA1;IDE;CROT;DHRS4L1;PEX2;NUDT17;ACOX2;ABCD1;HSD17B4;PEX11A;ACOX1;PLAAT3;NUDT12;STING1;PXMP4;MTARC2;VWA8;NUDT19;GSTK1;SYT7;ACSL6;FNDC5;CAT;PEX11B;ISOC1;SOD1;PEX3;HMGCR;MUL1;PXMP2
extracellular structure organization	extracellular structure organization;extracellular matrix organization;external encapsulating structure organization	COMP;FAP;AEBP1;ERO1A;PRSS1;COLQ;COL16A1;RXFP1;COL11A1;TNR;FMOD;LUM;TGFB2;P4HA1;PHLDB1;COL8A2;LRP1;COL14A1;MYO1E;FOXF1;LAMA1;SERPINH1;LAMB1;PXDN;CTSK;LOXL3;LOX;ADAMTS9;ITGB3;COL18A1;GFAP;DPT;FKBP10;TGFBR1;SMOC2;PRSS2;TNFRSF11B;COL22A1;COL8A1;NPHS1;ADAM8;TGFB1;ABI3BP;RIC1;LOXL2;EXT1;FOXC2;COLGALT1;CRTAP;COL4A1;ADAMTS8;NPHP3;ABL1;COL12A1;ANTXR1;COL9A2;EGFL6;PHLDB2;MMP14;LOXL1;SFRP2;EMILIN1;SMAD3;ADAMTS6;MMP17;MATN4;PRDM5;PLOD3;SPINT2;MMP2;ADAMTSL2;DMP1;ADTRP;RUNX1;COL4A3;ITGA8;SCX;COL4A2;ATP7A;MATN1;VTN;MATN3;ADAMTS13;MMP21;FBLN5;MMP23B;POMT2;MMP11;TNXB;ECM2;NOX1;HPSE2;ADAMTSL5;EFEMP2;COL5A2;SULF1;HPN;ADAMTS18;COL1A1;COL5A1;CTSS;RECK;SERPINF2;MPZL3;APBB2;COL1A2;COL3A1;EGFLAM;PAPLN;CMA1;POMT1;TGFBI;LOXL4;COL15A1;CST3;SH3PXD2B;BMP1;IMPG1;MYH11;ADAMTS10;TPSAB1;ADAMTSL3;B4GALT1;NFKB2;MAD2L2;OLFML2B;NID1;NPNT;TEX14;PDGFRA;ADAMTS2;POMGNT1;CPB2;GPM6B;WT1;DDR2;FOXC1;MFAP4
