representative	grouped_terms	genes
respiratory chain complex	respiratory chain complex;mitochondrial respirasome;aerobic electron transport chain;respirasome;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;respiratory electron transport chain;electron transfer activity;electron transport chain	UQCRQ;COX4I1;DMAC2;NDUFS2;NDUFS5;NDUFB4;UQCRFS1;NDUFB1;COX6C;SDHB;UQCR11;NDUFB2;NDUFA9;NDUFC1;COX5B;COX7B;UQCR10;NDUFA11;COX6B1;NDUFA7;NDUFA1;NDUFB3;NDUFAB1;UQCRB;COX7C;NDUFB6;NDUFB8;NDUFA10;COX7A1;NDUFS4;COX7A2;SDHA;NDUFA4;NDUFA8;DMAC1;NDUFB11;NDUFB7;NDUFB10;COX5A;NDUFC2;NDUFV3;NDUFA13;UQCRC1;FOXRED1;NDUFB9;NDUFS6;NDUFV1;NDUFS7;NDUFS8;CYC1;COX8A;COQ9;ETFA;AIFM2;UQCRH;QDPR;IDH3B;ETFB;ALDH4A1
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;ATP metabolic process;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process;purine nucleoside triphosphate metabolic process;nucleoside triphosphate metabolic process;purine ribonucleotide biosynthetic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;purine nucleotide biosynthetic process;purine-containing compound biosynthetic process;carbohydrate derivative biosynthetic process;purine ribonucleotide metabolic process;purine-containing compound metabolic process;ribonucleotide metabolic process;purine nucleotide metabolic process;nucleotide biosynthetic process;nucleoside phosphate biosynthetic process;ribose phosphate metabolic process;organophosphate biosynthetic process;nucleoside phosphate metabolic process;nucleotide metabolic process;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;organophosphate metabolic process;nucleobase-containing compound biosynthetic process;aromatic compound biosynthetic process;phosphorus metabolic process;phosphate-containing compound metabolic process;heterocycle biosynthetic process;organic cyclic compound biosynthetic process	ATP5PF;ATP5MK;NDUFS2;NDUFS5;STOML2;NDUFB4;ATP5F1A;NDUFB1;SDHB;NDUFB2;NDUFA9;NDUFC1;ATP5ME;ATP5MF;NDUFA11;ATP5MC2;NDUFA7;NDUFA1;NDUFB3;NDUFAB1;ATP5F1C;ATP5MJ;NDUFB6;ATP5F1D;NDUFB8;NDUFA10;NDUFS4;SDHA;ATP5F1B;NDUFA8;NDUFB11;NDUFB7;NDUFB10;NDUFC2;NDUFV3;ATP5MC3;ATP5MC1;NDUFA13;ATP5MG;ATP5PO;NDUFB9;NDUFS6;NDUFV1;NDUFS7;NDUFS8;OGDH;GCDH;ACSS1;MLYCD;ACAT1;SLC25A10;DCXR;ACSM2B;ACOT2;PC;ALDH1L1;ACOT11;MACROD1;SUCLG1;IDH2;MDH2;HMGCS2;GPAM;CKMT2;NAXE;NT5M;DBI;PRDX5;MRPL12;PTGES2;UCP1;QDPR;ALAS1;COX10;DMPK;HSD17B10
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;transmembrane transporter complex;transporter complex	DMAC2;NDUFS2;NDUFS5;NDUFB4;NDUFB1;NDUFB2;NDUFA9;NDUFC1;NDUFA11;NDUFA7;NDUFA1;NDUFB3;NDUFAB1;NDUFB6;NDUFB8;NDUFA10;NDUFS4;NDUFA4;NDUFA8;DMAC1;NDUFB11;NDUFB7;NDUFB10;NDUFC2;NDUFV3;NDUFA13;FOXRED1;NDUFB9;NDUFS6;NDUFV1;NDUFS7;NDUFS8;UQCRFS1;UQCR11;UQCR10;ABCB8;UQCRB;UQCRC1;CYC1;TIMM8B
oxidoreduction-driven active transmembrane transporter activity	oxidoreduction-driven active transmembrane transporter activity;primary active transmembrane transporter activity;active transmembrane transporter activity	COX4I1;NDUFS2;NDUFS5;NDUFB4;UQCRFS1;NDUFB1;NDUFB2;NDUFA9;NDUFC1;COX5B;COX7B;UQCR10;COX6B1;NDUFA7;NDUFA1;NDUFB3;NDUFB6;NDUFB8;NDUFA10;COX7A1;NDUFS4;NDUFA4;NDUFA8;NDUFB7;NDUFB10;COX5A;NDUFC2;NDUFV3;UQCRC1;NDUFB9;NDUFS6;NDUFV1;NDUFS7;NDUFS8;CYC1;COX8A;ABCB8;ATP5F1B;SLC25A4;SLC25A10;SLC25A3;SLC25A11
oxidative phosphorylation	oxidative phosphorylation;aerobic respiration	UQCRQ;COX4I1;FXN;ATP5PF;NDUFS2;NDUFS5;STOML2;NDUFB4;UQCRFS1;ATP5F1A;NDUFB1;COX6C;SDHB;UQCR11;NDUFB2;NDUFA9;COQ9;UQCC2;NDUFC1;ATP5ME;COX5B;COX7B;ATP5MF;UQCR10;NDUFA11;COX6B1;NDUFA7;NDUFA1;NDUFB3;NDUFAB1;UQCRB;ATP5F1C;COX7C;NDUFB6;ATP5F1D;NDUFB8;NDUFA10;COX7A1;NDUFS4;COX7A2;SDHA;NDUFA4;ATP5F1B;NDUFA8;NDUFB11;NDUFB7;NDUFB10;COX5A;NDUFC2;NDUFV3;NDUFA13;ATP5MG;UQCRC1;ATP5PO;NDUFB9;NDUFS6;NDUFV1;NDUFS7;NDUFS8;CYC1;COX8A;OXA1L;IDH3G;FH;ACO2;COX10;OGDH;SUCLG1;IDH3B;IDH2;MDH2
NADH dehydrogenase (ubiquinone) activity	NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase (quinone) activity;mitochondrial electron transport, NADH to ubiquinone;NADH dehydrogenase activity;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor;oxidoreductase activity, acting on NAD(P)H	NDUFS2;NDUFS5;NDUFB4;NDUFB1;NDUFB2;NDUFA9;NDUFC1;NDUFA7;NDUFA1;NDUFB3;NDUFB6;NDUFB8;NDUFA10;NDUFS4;NDUFA4;NDUFA8;NDUFB7;NDUFB10;NDUFC2;NDUFV3;NDUFB9;NDUFS6;NDUFV1;NDUFS7;NDUFS8;COQ9;NDUFAB1;DCXR
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly;mitochondrial respiratory chain complex assembly	DMAC2;ACAD9;NDUFS2;NDUFS5;NDUFB4;NDUFAF3;NDUFB1;NDUFB2;NDUFA9;NDUFC1;NDUFA11;NDUFA1;NDUFB3;NDUFAB1;NDUFB6;NDUFB8;NDUFA10;NDUFS4;NDUFA8;DMAC1;NDUFB11;NDUFB7;NDUFB10;NDUFC2;NDUFA13;ECSIT;FOXRED1;NDUFB9;NDUFS7;NDUFS8;UQCRFS1;UQCC2;COX17;COX14;TACO1
cellular respiration	cellular respiration;energy derivation by oxidation of organic compounds;generation of precursor metabolites and energy	ACLY;ATP5PD;NDUFV2;NIPSNAP2;UQCRC2;SLC25A18;MFN2;PDHA1;ATP5PB;ETFDH;ATP5F1E;ETFA;AIFM2;CS;UQCRH;UQCRQ;OXA1L;COX4I1;FXN;IDH3G;ATP5PF;COQ10A;NDUFS2;NDUFS5;STOML2;NDUFB4;FH;UQCRFS1;ACO2;ATP5F1A;NDUFB1;COX6C;SDHB;UQCR11;NDUFB2;NDUFA9;COQ9;UQCC2;NDUFC1;ATP5ME;COX5B;COX7B;ATP5MF;UQCR10;NDUFA11;COX6B1;NDUFA7;COX10;NDUFA1;NDUFB3;NDUFAB1;UQCRB;ATP5F1C;COX7C;NDUFB6;ATP5F1D;OGDH;NDUFB8;NDUFA10;COX7A1;NDUFS4;COX7A2;TRAP1;SDHA;NDUFA4;ATP5F1B;SUCLG1;NDUFA8;NDUFB11;NDUFB7;NDUFB10;COX5A;NDUFC2;NDUFV3;NDUFA13;ATP5MG;IDH3B;UQCRC1;ATP5PO;NDUFB9;NDUFS6;ETFB;NDUFV1;NDUFS7;NDUFS8;CYC1;COX8A;IDH2;MDH2;ACADM;ACADVL;PHB2;ACACB;SLC25A4;ALDH1L1;ACSS1;COX17;QDPR;ACAT1;ALDH4A1;HMGCS2
inner mitochondrial membrane protein complex	inner mitochondrial membrane protein complex;membrane protein complex	COX6A2;TIMM21;ROMO1;ATP5PD;SAMM50;APOO;PHB2;NDUFV2;UQCRC2;ATP5PB;IMMT;ATP5F1E;UQCRH;CHCHD6;MICOS10;UQCRQ;COX4I1;ATP5PF;ATP5MK;MPC1;DMAC2;NDUFS2;NDUFS5;NDUFB4;UQCRFS1;ATP5F1A;NDUFB1;COX6C;SDHB;UQCR11;NDUFB2;TIMM17B;NDUFA9;NDUFC1;ATP5ME;COX5B;COX7B;ATP5MF;UQCR10;NDUFA11;COX6B1;ATP5MC2;NDUFA7;TIMM44;NDUFA1;NDUFB3;NDUFAB1;UQCRB;ATP5F1C;ATP5MJ;COX7C;NDUFB6;ATP5F1D;NDUFB8;NDUFA10;COX7A1;NDUFS4;COX7A2;SDHA;NDUFA4;ATP5F1B;NDUFA8;DMAC1;NDUFB11;NDUFB7;NDUFB10;COX5A;NDUFC2;MICOS13;NDUFV3;ATP5MC3;ATP5MC1;NDUFA13;ATP5MG;UQCRC1;FOXRED1;ATP5PO;NDUFB9;NDUFS6;NDUFV1;NDUFS7;NDUFS8;CYC1;COX8A;SLC25A4;ABCB8
mitochondrial inner membrane	mitochondrial inner membrane;organelle inner membrane	ATAD3A;MRPL33;MRPS26;COX6A2;MRPS15;TIMM21;ROMO1;MRPL1;MRPS5;ATP5PD;MRPS11;SAMM50;APOO;PHB2;NDUFV2;ADCK1;UQCRC2;SLC25A18;TIMM13;ATP5PB;PRODH;MRPL46;MRPL16;HADHB;IMMT;MRPS7;ETFDH;MRPL57;COA3;TMEM126A;MRPL14;MRPL15;MRPL41;ATP5F1E;CHCHD1;UQCRH;LDHB;GCAT;MRPL58;CHCHD6;ACADVL;PET100;MRPL10;MICOS10;UQCRQ;OXA1L;HADHA;COX4I1;ATP5PF;COQ10A;SLC25A4;CKMT2;ATP5MK;COQ5;MPC1;MRPS33;DMAC2;ACAD9;NDUFS2;NDUFS5;STOML2;NDUFB4;AURKAIP1;UQCRFS1;NDUFAF3;MRPL52;ATP5F1A;NDUFB1;COX6C;SDHB;UQCR11;MRPL51;SLC25A34;MRPL38;NDUFB2;CRAT;TIMM17B;NDUFA9;COQ9;UQCC2;NDUFC1;ATP5ME;COX5B;MRPL20;COX7B;ATP5MF;UQCR10;ABCB8;ALAS1;MRPS18C;NDUFA11;COX6B1;COQ6;ATP5MC2;NDUFA7;MRPS16;MRPS24;COX10;TIMM44;NDUFA1;NDUFB3;NDUFAB1;UQCRB;MRPL4;MRPS17;ATP5F1C;MRPS18A;ATP5MJ;COX7C;NDUFB6;MRPL28;ATP5F1D;NDUFB8;NDUFA10;MRPS34;COX7A1;NDUFS4;SLC25A10;COX7A2;TIMM8B;TRAP1;SDHA;NDUFA4;ATP5F1B;MRPS9;NDUFA8;DMAC1;NDUFB11;SLC25A3;NDUFB7;ENDOG;NDUFB10;MRPL37;MRPL21;COX5A;NDUFC2;MICOS13;MRPL27;NDUFV3;ATP5MC3;ATP5MC1;NDUFA13;ATP5MG;UQCRC1;ECSIT;FOXRED1;ATP5PO;MRPL2;NDUFB9;MRPL12;NDUFS6;LDHD;NDUFV1;NDUFS7;SLC25A11;NDUFS8;CYC1;UCP1;COX8A;COQ3;CYP24A1
