representative	grouped_terms	genes
positive regulation of programmed cell death	positive regulation of programmed cell death;positive regulation of apoptotic process	BCL2A1;BBC3;BCL2;AIFM2;SEPTIN4;BAX;PMAIP1;ADCY10;CASP9;SPHK2;BNIP3;BOK;BNIP3L;TSPO;BID;MFN2;CASP8;DIABLO;HTATIP2;FIS1;MTCH1;HSPD1;HTRA2;BAD;BCL2L11;PTRH2
cell death	cell death;programmed cell death	FABP1;BCL2A1;BBC3;DELE1;EXOG;BCL2;AIFM2;BCL2L1;MUTYH;SEPTIN4;SPG7;RHOT2;BAX;PMAIP1;ADCY10;GPX1;SLC25A27;NME3;GPX4;RMDN3;CASP9;SPHK2;BNIP3;MRPL41;BOK;BNIP3L;FASTK;TSPO;FKBP8;BID;GFER;MFN2;SLC25A6;PRODH;AHCYL1;CASP8;TIMM50;DIABLO;HTATIP2;MTFP1;ALKBH7;ARG2
regulation of mitochondrial membrane permeability	regulation of mitochondrial membrane permeability;regulation of membrane permeability	BCL2;BCL2L1;SPG7;RHOT2;BAX;PMAIP1;BNIP3;BOK;BNIP3L;BID;SLC25A6
extrinsic apoptotic signaling pathway via death domain receptors	extrinsic apoptotic signaling pathway via death domain receptors;extrinsic apoptotic signaling pathway	DELE1;BCL2;BCL2L1;BAX;PMAIP1;GPX1;BID;CASP8;DIABLO;BCL2A1;BOK
translation	translation;peptide biosynthetic process;peptide metabolic process;mitochondrial translation	TARS2;LARS2;MRPL49;MRPL58;MRPS30;TRUB2;MRPL47;MRPL36;MTIF2;TACO1;GUF1;TRMT10C;MRPL37;TSFM;MRPS11;KARS1;MRPS23;MRPS18A;MTRES1;MRPL48;MALSU1;NARS2;DAP3;MRPL15;FASTKD2;MRPL10;MRPS22;MRPL16;C1QBP;FECH;MRPS33;MRPS18C;EARS2;LRPPRC;MRPL3;MRPL13;MRPL1;METTL5;MTIF3;GFM2;MRPS9;MRPL35;IARS2;GFM1;MRPL39;FARS2;MRPS27;MRPL44;MRPS35;MRPS28;DARS2;GATB;MRPS16;MRPS17;MRPL30;MRPS10;IMMP1L;IDE;NLN;GSTZ1
dendrite	dendrite;dendritic tree;somatodendritic compartment	SEPTIN4;COMT;ACAD9;ADCY10;CPT1C;BNIP3;SLC25A27
regulation of programmed cell death	regulation of programmed cell death;regulation of apoptotic process	FABP1;BCL2A1;BBC3;BCL2;AIFM2;BCL2L1;MUTYH;SEPTIN4;BAX;PMAIP1;ADCY10;GPX1;SLC25A27;GPX4;CASP9;SPHK2;BNIP3;BOK;BNIP3L;TSPO;FKBP8;BID;GFER;MFN2;SLC25A6;PRODH;CASP8;DIABLO;HTATIP2;ARG2;FIS1;MTCH1;PHB2;ATAD3A;HSPD1;HTRA2;OGG1;UCP2;BAD
organellar small ribosomal subunit	organellar small ribosomal subunit;mitochondrial small ribosomal subunit;small ribosomal subunit	MRPS11;MRPS23;MRPS18A;DAP3;MRPS22;MRPS33;MRPS18C;MRPS9;MRPS27;MRPS35;MRPS28;MRPS16;MRPS17;MRPS10
cellular response to abiotic stimulus	cellular response to abiotic stimulus;cellular response to environmental stimulus	BCL2L1;EFHD1;BAX;CASP9;BNIP3;PDE2A;TSPO;CRY1;CASP8
regulation of cysteine-type endopeptidase activity involved in apoptotic process	regulation of cysteine-type endopeptidase activity involved in apoptotic process;regulation of hydrolase activity;regulation of cysteine-type endopeptidase activity;regulation of endopeptidase activity;regulation of peptidase activity	FABP1;BBC3;BAX;PMAIP1;GPX1;CASP9;BOK;BID;CASP8;DIABLO;FIS1;MTCH1;HSPD1;HTRA2;MUL1;HSPE1;BAD;ARL2;PHB2
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis	NDUFB1;ATP5PO;NDUFS5;ATP5MC2;NDUFA12;NDUFA1;ATP5MK;NDUFC1;NDUFA9;NDUFA8;ATP5PF;ATP5MF;NDUFV2;NDUFAB1;ATP5F1A;NDUFB3;NDUFB2;ATP5MC1;ATP5F1B;ATP5F1C;NDUFA5;SDHD;NDUFB6;DNAJC30;ATP5PB;NDUFS2;ATP5MC3;NDUFB5;SDHC;NDUFC2
regulation of mitochondrial membrane potential	regulation of mitochondrial membrane potential;regulation of membrane potential	BCL2;BCL2L1;BAX;PMAIP1;ADCY10;SLC25A27;BNIP3;BOK;BNIP3L;TSPO;BID;SLC8B1
response to nutrient levels	response to nutrient levels;response to extracellular stimulus	FABP1;CYP24A1;DELE1;BCL2;COMT;BAX;PMAIP1;GPX1;BNIP3;TSPO;HMGCS2;UCP3;CPS1
ribonucleoprotein complex	ribonucleoprotein complex;ribosomal subunit;ribosome	MRPL58;MRPS30;MRPL47;MRPL36;TRMT10C;MRPL37;MRPS11;PABPC5;MRPS23;MRPS18A;MRPL48;DAP3;MRPL15;MRPL10;MRPS22;MRPL16;MRPS33;MRPS18C;PRORP;LRPPRC;MRPL3;GRSF1;MRPL13;MRPL1;MRPS9;MRPL35;MRPL39;MRPS27;MRPL44;MRPS35;MRPS28;MRPS16;MRPS17;MRPL30;MRPS10
response to radiation	response to radiation;response to light stimulus	BCL2;BCL2L1;COMT;BAX;GPX1;CASP9;CPT1B;CRY1
