representative	grouped_terms	genes
translation	translation;amide biosynthetic process;peptide biosynthetic process;mitochondrial translation;peptide metabolic process;mitochondrial gene expression	TSFM;MTRF1L;MRPL24;MRPL36;DARS2;TUFM;MRPS23;MRPL12;MRPS24;TACO1;MRPL30;MRPS16;MRPS2;QRSL1;MRPL21;MRPL13;MALSU1;MRPL57;MRPL51;MRPL35;FASTKD2;MRPL42;MRPL1;LRPPRC;MRPL39;MRPS10;MRPL27;GADD45GIP1;MRPL15;MRPS22;MRPS28;TRMT10C;METTL5;MRPS14;GFM1;MRPS35;SHMT2;GUF1;TRAP1;MRPS5;GARS1;MRPL20;MRPS17;NARS2;MRPL37;MRPL4;PARS2;MRPS30;LARS2;MRPL47;CARS2;MRPL22;MRPS31;MRPL48;MRPL9;MRPL18;RMND1;PDF;MARS2;C1QBP;MRPS18C;WARS2;MRPL2;MRPL3;KARS1;MRPL50;ACAT1;MRPL44;DLAT;AGMAT;NAGS;ACLY;PDK1;MPC2;ARG2;CPS1;SLC25A15;PARK7;GLRX2;TFAM;PRORP;TBRG4;TWNK;PNPT1;FASTKD1;TRMT61B;HSD17B10
ribonucleoprotein complex	ribonucleoprotein complex;organellar ribosome;mitochondrial ribosome;structural constituent of ribosome;ribosome;ribosomal subunit;structural molecule activity	SLIRP;MRPS23;MRPL12;MRPS24;MRPL30;MRPS16;MRPS2;MRPL21;MRPL13;MRPL57;MRPL51;MRPL35;MRPL42;PRORP;MRPL1;LRPPRC;MRPL39;MRPS10;MRPL27;GADD45GIP1;MRPL15;MRPS22;MRPS28;TRMT10C;MRPS14;MRPS35;MRPS5;MRPL20;MRPS17;MRPL37;MRPL4;MRPS30;MRPL47;MRPL22;HSD17B10;MRPS31;MRPL48;MRPL9;MRPL18;SND1;MRPS18C;MRPL2;MRPL3;MRPS33;MRPL58;MRPL33;APEX1;MRPL50;MRPL44;MRPL24;MRPL36;PNPT1
mitochondrial inner membrane	mitochondrial inner membrane;organelle inner membrane	MRPS24;NDUFS6;HSPD1;COX5A;SLC25A41;CYC1;DMAC1;COA1;MRPL30;MRPS16;COX11;HCCS;CYCS;MRPS2;COX7C;MRPL21;FOXRED1;PMPCB;MRPL13;MRPL57;ATP5F1C;ATP5MC3;ROMO1;MRPL51;MRPL35;CLPX;PHB2;MRPL42;MRPL1;PPIF;TMEM177;MRPL39;CHCHD3;MRPS10;MRPL27;COX10;NDUFS8;ATP5PO;GADD45GIP1;SFXN2;MRPL15;ALAS1;TIMM10;MRPS22;TWNK;MTFP1;APOOL;MRPS28;MCUR1;YME1L1;MAIP1;COX8A;MRPS14;GPD2;NDUFB4;DNAJC15;MRPS35;SHMT2;NOA1;LETM1;ATP5MC1;GUF1;COQ3;COX16;TIMM44;NDUFS4;TRAP1;MTX3;MRPS5;MRPL20;MPC2;MRPS17;COX7A2L;ATP5MG;MRPL37;MRPL4;NME6;NDUFAF4;NDUFA12;RAB5IF;GRPEL1;MRPS30;NDUFB6;SFXN1;HIGD1A;MRPL47;MICU2;SLC25A51;MRPL22;TIMM9;CPS1;MRPS31;TIMM17A;NDUFC2;SLC25A23;SLC25A15;MRPL48;HSPA9;MRPL9;MRPL18;MPV17;ATAD3A;TMEM65;TIMM8A;TMEM11;COX6A1;TMEM126A;PGAM5;CHCHD6;SFXN4;TIMM50;MRPS18C;MRPL2;MRPL3;NDUFAF2;TOMM40;SLC25A48;SLC25A5;LRPPRC
gene expression	gene expression;macromolecule biosynthetic process;macromolecule metabolic process	MRPL30;ARMCX3;MRPS16;CISD1;TFAM;MRPS2;QRSL1;MRPL21;PMPCB;PCBD2;MRPL13;MALSU1;MRPL57;TRMT2B;MRPL51;MRPL35;CLPX;FASTKD2;PHB2;YRDC;MRPL42;PRORP;MRPL1;PPIF;LRPPRC;TOMM70;TBRG4;XPNPEP3;MRPL39;PDE12;MRPS10;FXN;MRPL27;GADD45GIP1;DUS2;MRPL15;MRPS22;TWNK;MRPS28;PNPT1;TRMT10C;METTL5;YME1L1;FASTKD1;MRPS14;GFM1;TRMT61B;METTL15;BOLA3;MRPS35;SHMT2;NIF3L1;AASS;PLGRKT;GUF1;HSPE1;DNM1L;TRAP1;GCSH;MRPS5;GARS1;MRPL20;MRM2;MRPS17;NARS2;MRPL37;MRPL4;ARG2;TRIAP1;PARS2;GRPEL1;MRPS30;LARS2;MRPL47;CARS2;MRPL22;PARK7;HSD17B10;NFU1;MRPS31;MRPL48;HSPA9;MRPL9;GLRX2;MRPL18;RMND1;PDF;CHCHD2;SND1;MARS2;C1QBP;TDRKH;MRPS18C;WARS2;MRPL2;MRPL3;KARS1;PRIMPOL;ALAS1;LIG3;FH;HCCS;CYCS;PDP1;MSRB3;PDK1;CLPP;LYPLA1;STYXL1;LONP1;SPIRE1;NDUFS4;DMPK;PDP2;OGDH;MPV17;PGAM5;MARCHF5;TIMM50;PRELID1
aminoacyl-tRNA ligase activity	aminoacyl-tRNA ligase activity;tRNA aminoacylation for protein translation;ligase activity, forming carbon-oxygen bonds;amino acid activation;tRNA aminoacylation	GARS1;NARS2;PARS2;LARS2;CARS2;MARS2;WARS2;KARS1
mitochondrial outer membrane translocase complex	mitochondrial outer membrane translocase complex;outer mitochondrial membrane protein complex	TOMM70;CHCHD3;TOMM20;APOOL;TOMM5;MTX3;HSPA9;CHCHD6;TOMM22;TOMM40
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit;large ribosomal subunit	MRPL58;MRPL33;MRPL50;MRPL44;MRPL24;MRPL36;MRPL12;MRPL30;MRPL21;MRPL13;MRPL57;MRPL51;MRPL35;MRPL42;MRPL1;MRPL39;MRPL27;GADD45GIP1;MRPL15;MRPL20;MRPL37;MRPL4;MRPS30;MRPL47;MRPL22;MRPL48;MRPL9;MRPL18;MRPL2;MRPL3
cellular nitrogen compound biosynthetic process	cellular nitrogen compound biosynthetic process;organonitrogen compound biosynthetic process	HINT1;TUFM;RFK;POLDIP2;MRPS23;ATP5MK;MRPL12;DLAT;AGMAT;MRPS24;NDUFS6;TACO1;NAGS;MRPL30;ARMCX3;MRPS16;COX11;TFAM;MRPS2;QRSL1;MRPL21;PRIMPOL;PCBD2;MRPL13;MALSU1;MRPL57;ACLY;MTHFD1L;ATP5F1C;ATP5MC3;MRPL51;MRPL35;FASTKD2;AK2;PHB2;MRPL42;MRPL1;LRPPRC;MRPL39;MRPS10;FXN;MRPL27;COX10;NDUFS8;ATP5PO;GADD45GIP1;MRPL15;ALAS1;MRPS22;TWNK;PDK1;MRPS28;TRMT10C;METTL5;MTHFS;MRPS14;GFM1;NDUFB4;ACOT7;MRPS35;SHMT2;NIF3L1;AASS;ATP5MC1;GUF1;NDUFS4;TRAP1;MRPS5;CYB5B;GARS1;MRPL20;MPC2;MRPS17;NARS2;ATP5MG;MRPL37;MRPL4;NME6;NDUFA12;ARG2;TRIAP1;PARS2;MRPS30;LARS2;NDUFB6;MRPL47;CARS2;MRPL22;PARK7;CPS1;MRPS31;NDUFC2;SLC25A15;MRPL48;LIG3;MRPL9;GLRX2;MRPL18;RMND1;PDF;CHCHD2;MARS2;C1QBP;PAICS;MRPS18C;WARS2;MRPL2;MRPL3;KARS1;BCAT2;CHPT1;PYCR1
non-membrane-bounded organelle	non-membrane-bounded organelle;intracellular non-membrane-bounded organelle	HSDL1;HINT1;TUFM;POLDIP2;EXD2;MRPS23;MRPL12;MRPS24;FH;MRPL30;MRPS16;TFAM;MRPS2;MRPL21;PRIMPOL;MRPL13;MRPL57;MRPL51;MRPL35;CLPX;BCKDHB;FASTKD2;DBT;MRPL42;PRORP;MRPL1;LRPPRC;TBRG4;MRPL39;MRPS10;MRPL27;COX10;DCXR;GADD45GIP1;MRPL15;MRPS22;TWNK;MRPS28;PNPT1;TRMT10C;METTL5;FASTKD1;MRPS14;LONP1;MRPS35;SHMT2;SPIRE1;TIMM44;DNM1L;MRPS5;MRPL20;MRM2;MFN2;MRPS17;COX7A2L;MRPL37;MRPL4;MRPS30;MRPL47;MRPL22;PARK7;HSD17B10;VDAC2;CPS1;MRPS31;MRPL48;HSPA9;MRPL9;MRPL18;ATAD3A;C1QBP;TDRKH;MRPS18C;MRPL2;MRPL3;SLC25A5
carboxylic acid metabolic process	carboxylic acid metabolic process;organic acid metabolic process;oxoacid metabolic process	ACSF2;OGDHL;NIT2;HMGCL;STAR;HAGH;GPAT2;SLC25A42;GPX4;CPT1C;SLC25A21;ABCD1;ABCD2;TST;CRAT;NUDT8;CYP27A1;SIRT4;ECHS1;ACSM5;UCP3;ME3;GPT2;ACADS;ACSM1;LIPT1;PDK3;OSBPL1A;ECHDC2;GPX1;ABHD10;FPGS;MCEE;AMT;RIDA;OXSM;AMACR;GSTZ1;AADAT;LIPT2;ALDH5A1;ACSS1;ACAA2;SDSL;THEM4;KYAT3;IVD;ACAD11;PNKD;PRODH;CBR4;ACADVL;ACAA1;MTHFD2;NAT8L;ACAD8;CPT1B;D2HGDH;AUH;DLST;CPT2;ARL2
