representative	grouped_terms	genes
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;ATP biosynthetic process;proton motive force-driven mitochondrial ATP synthesis;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;ATP metabolic process;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process;purine nucleoside triphosphate metabolic process;purine ribonucleotide biosynthetic process;nucleoside triphosphate metabolic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;purine nucleotide biosynthetic process;purine-containing compound biosynthetic process;carbohydrate derivative biosynthetic process;nucleotide biosynthetic process;nucleoside phosphate biosynthetic process;nucleoside phosphate metabolic process;purine-containing compound metabolic process;purine nucleotide metabolic process;nucleobase-containing small molecule metabolic process;nucleotide metabolic process;nucleobase-containing compound biosynthetic process;organophosphate biosynthetic process;aromatic compound biosynthetic process;carbohydrate derivative metabolic process;ribose phosphate metabolic process;heterocycle biosynthetic process;organophosphate metabolic process	SDHA;NDUFB7;NDUFC1;ATP5ME;NDUFB1;NDUFS6;NDUFA8;NDUFA5;NDUFA7;ATP5F1A;NDUFA1;ATP5MF;NDUFB10;NDUFS2;NDUFS8;ATP5MG;NDUFB8;ATP5F1B;NDUFAB1;NDUFV3;ATP5PD;ATP5MK;ATP5MJ;NDUFB9;NDUFA9;NDUFV1;SDHC;ATP5PF;SDHD;SDHB;NDUFC2;NDUFB2;ATP5MC2;ATP5F1C;ATP5PB;NDUFB4;NDUFS7;NDUFB5;NDUFB3;NDUFV2;NDUFB6;NDUFS4;ATP5MC3;ATP5MC1;ATP5PO;DMAC2L;PDHX;PDHB;GCDH;ACAT1;DCXR;PDHA1;NDUFA10;DLST;ACSS1;ACSL6;NDUFA13;OGDH;MACROD1;SUCLA2;MPC2;ACSF2;GLYAT;SUCLG2;NUDT13;LDHB;SUCLG1;IDH2;MDH2;NT5M;ALDH6A1;NAXE;POLDIP2;MRPL12;TEFM;MTRES1;PRDX3;TFB1M;CHCHD2;PRDX5;PCBD2;CKMT2;ABCB7;ALDH2;COX10;QDPR;LIAS;DNAJC19
respiratory chain complex	respiratory chain complex;aerobic electron transport chain;respirasome;mitochondrial respirasome;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;electron transport chain;respiratory electron transport chain	NDUFA13;COX7A2;NDUFAF1;COX6A2;SDHA;NDUFB7;NDUFC1;COX7A1;NDUFB1;NDUFS6;NDUFA8;COA6;NDUFA5;UQCRH;COX5B;NDUFA7;NDUFA1;NDUFB10;NDUFS2;NDUFS8;NDUFB8;UQCRC2;NDUFAB1;NDUFV3;NDUFA4;COX6B1;NDUFB9;NDUFA9;NDUFV1;SDHC;SDHD;UQCRB;FOXRED1;COX4I1;COX7C;UQCRC1;SDHB;COX7B;NDUFC2;DMAC1;NDUFB2;COX5A;NDUFB4;NDUFS7;COX8A;NDUFB5;UQCRFS1;NDUFB3;NDUFV2;CYC1;NDUFB6;NDUFS4;AFG1L;CYCS;COQ9;HIGD1A;HIGD2A;CHCHD2;GHITM;MAOB;DHRS2;ETFB;ALDH2;GLDC;FDX1;QDPR;IDH3B
mitochondrial electron transport, NADH to ubiquinone	mitochondrial electron transport, NADH to ubiquinone;mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase activity;NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase (quinone) activity;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor;oxidoreductase activity, acting on NAD(P)H	NDUFB7;NDUFC1;NDUFB1;NDUFS6;NDUFA8;NDUFA5;NDUFA7;NDUFA1;NDUFB10;NDUFS2;NDUFS8;NDUFB8;NDUFAB1;NDUFV3;NDUFA4;NDUFB9;NDUFA9;NDUFV1;NDUFC2;NDUFB2;NDUFB4;NDUFS7;NDUFB5;NDUFB3;COQ9;NDUFV2;NDUFB6;NDUFS4;NDUFA13;NDUFAF1;FOXRED1;DMAC1;DCXR;NDUFA10;AIFM3;CRYZ
oxidoreduction-driven active transmembrane transporter activity	oxidoreduction-driven active transmembrane transporter activity;primary active transmembrane transporter activity;active transmembrane transporter activity	NDUFB7;NDUFC1;COX7A1;NDUFB1;NDUFS6;NDUFA8;NDUFA5;UQCRH;COX5B;NDUFA7;NDUFA1;NDUFB10;NDUFS2;NDUFS8;NDUFB8;NDUFV3;NDUFA4;COX6B1;NDUFB9;NDUFA9;NDUFV1;COX4I1;UQCRC1;COX7B;NDUFC2;NDUFB2;COX5A;NDUFB4;NDUFS7;COX8A;NDUFB5;UQCRFS1;NDUFB3;NDUFV2;CYC1;NDUFB6;NDUFS4;ATP5F1B;SLC25A4;SLC25A11;SLC25A3
oxidative phosphorylation	oxidative phosphorylation;aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds;generation of precursor metabolites and energy	NDUFA13;COX7A2;NDUFAF1;UQCC2;COX6A2;SDHA;NDUFB7;TEFM;NDUFC1;ATP5ME;COX7A1;NDUFB1;NDUFS6;AFG1L;NDUFA8;COA6;NDUFA5;UQCRH;COX5B;PPIF;NDUFA7;ATP5F1A;NDUFA1;ATP5MF;NDUFB10;NDUFS2;CHCHD2;NDUFS8;NIPSNAP2;ATP5MG;NDUFB8;UQCRC2;ATP5F1B;NDUFAB1;NDUFV3;NDUFA4;ATP5PD;COX6B1;NDUFB9;NDUFA9;NDUFV1;SDHC;ATP5PF;SDHD;UQCRB;COX4I1;COX7C;UQCRC1;CYCS;SDHB;COX7B;NDUFC2;NDUFB2;COX5A;ATP5F1C;ATP5PB;NDUFB4;NDUFS7;COX8A;NDUFB5;UQCRFS1;NDUFB3;COQ9;NDUFV2;CYC1;NDUFB6;NDUFS4;ATP5PO;PDHA1;NDUFA10;DLST;GHITM;OGDH;SUCLA2;CS;SUCLG2;PDHB;FH;SUCLG1;COX10;IDH2;MDH2;OXA1L;IDH3B;LYRM7;DLD;CISD1;SDHAF4;ETFB;TRAP1;ACSS1;MAOB;DHRS2;SLC25A4;ALDH2;GLDC;FDX1;ACAT1;COX17;QDPR
inner mitochondrial membrane protein complex	inner mitochondrial membrane protein complex;membrane protein complex	NDUFA13;COX7A2;NDUFAF1;MPC2;COX6A2;SDHA;NDUFB7;NDUFC1;ATP5ME;COX7A1;NDUFB1;NDUFS6;NDUFA8;NDUFA5;UQCRH;COX5B;PPIF;NDUFA7;ATP5F1A;NDUFA1;ATP5MF;NDUFB10;MTX2;NDUFS2;NDUFS8;ATP5MG;NDUFB8;UQCRC2;MICU2;ATP5F1B;NDUFAB1;NDUFV3;NDUFA4;ATP5PD;ATP5MK;APOO;DNAJC19;ATP5MJ;COX6B1;NDUFB9;NDUFA9;NDUFV1;SDHC;ATP5PF;SDHD;UQCRB;FOXRED1;COX4I1;COX7C;UQCRC1;MPC1;SDHB;COX7B;NDUFC2;DMAC1;NDUFB2;ATP5MC2;COX5A;ATP5F1C;ATP5PB;NDUFB4;NDUFS7;COX8A;NDUFB5;UQCRFS1;NDUFB3;NDUFV2;CYC1;NDUFB6;NDUFS4;ATP5MC3;ATP5MC1;ATP5PO;SLC25A4;VDAC3;COA6;VDAC1;VDAC2;DMAC2L
mitochondrial protein-containing complex	mitochondrial protein-containing complex;protein-containing complex	TOMM40L;MRPL47;MRPL27;APOOL;MRPS18C;COX6C;IDH3G;FXN;MRPL10;PDK1;UQCR11;MRPL3;NDUFS5;TIMM21;GRPEL1;MICOS10;DLD;MRPL13;BCKDK;MRPS7;PDHA1;NDUFA10;MRPL2;IMMT;MRPL16;NDUFA13;COX7A2;NDUFAF1;MRPL12;MPC2;COX6A2;MRPS15;MRPL40;SDHA;MRPL24;NDUFB7;NDUFC1;ATP5ME;COX7A1;NDUFB1;SLC25A4;NDUFS6;MRPL4;MRPL37;PDHX;NDUFA8;MRPS10;NDUFA5;MCCC1;MRPL46;MRPS16;UQCRH;COX5B;PPIF;BCKDHB;NDUFA7;MRPL30;ATP5F1A;MRPL44;MRPL58;NDUFA1;ATP5MF;BCKDHA;MRPL35;SUCLG2;MRPL15;NDUFB10;VDAC1;PDHB;TIMM8A;MRPS22;MTX2;MRPL39;NDUFS2;NDUFS8;ATP5MG;NDUFB8;UQCRC2;MICU2;ATP5F1B;NDUFAB1;NDUFV3;NDUFA4;ATP5PD;ATP5MK;MRPL1;MRPS35;MRPL57;APOO;DNAJC19;TIMM8B;ATP5MJ;COX6B1;NDUFB9;MRPS24;NDUFA9;NDUFV1;MRPS30;MRPS28;SDHC;ATP5PF;SDHD;UQCRB;FOXRED1;COX4I1;COX7C;UQCRC1;MRPS33;MRPS9;MPC1;SDHB;COX7B;NDUFC2;DMAC1;NDUFB2;ATP5MC2;DAP3;COX5A;ATP5F1C;SUCLG1;ATP5PB;NDUFB4;NDUFS7;COX8A;NDUFB5;UQCRFS1;NDUFB3;NDUFV2;CYC1;MRPL48;NDUFB6;IDH3B;NDUFS4;ATP5MC3;ATP5MC1;ATP5PO;CPS1;POLB;COQ6;SLIRP;ABAT;GRHPR;DLST;OGDH;SUCLA2;GLRX5;ETFB;TEFM;PRDX3;MFF;VDAC3;HIGD1A;COA6;PCCB;GCSH;BOLA3;FH;GLDC;VDAC2;LDHB;DECR1;CYCS;PXMP2;COQ3;DMAC2L;COX10;COQ9;OXA1L;COQ5
organelle inner membrane	organelle inner membrane;mitochondrial inner membrane	UQCC2;COX6A2;MRPS15;CHDH;MRPL40;SDHA;MRPL24;NDUFB7;TRAP1;NDUFC1;COX16;NOA1;ATP5ME;COX7A1;NDUFB1;SLC25A4;NDUFS6;MRPL4;MRPL37;SLC25A11;NDUFA8;MRPS10;HIGD1A;NDUFA5;MRPL46;MRPS16;UQCRH;COX5B;PPIF;OMA1;NDUFA7;ECSIT;MRPL30;ATP5F1A;CKMT2;MRPL44;MRPL58;NDUFA1;ATP5MF;TMEM177;MRPL35;MRPL15;NDUFB10;TIMM8A;MRPS22;MTX2;MRPL39;NDUFS2;GCAT;LDHD;NDUFS8;ATP5MG;NDUFB8;UQCRC2;MICU2;ATP5F1B;NDUFAB1;NDUFV3;NDUFA4;ATP5PD;ATP5MK;MRPL1;MRPS35;MRPL57;APOO;DNAJC19;MAIP1;TIMM8B;ATP5MJ;LDHB;COX6B1;NDUFB9;MRPS24;NDUFA9;NDUFV1;MRPS30;SFXN4;MRPS28;SDHC;ATP5PF;SDHD;UQCRB;FOXRED1;COX4I1;COX7C;UQCRC1;MRPS33;MRPS9;MPC1;HIGD2A;CYCS;SDHB;COX7B;NDUFC2;DMAC1;TMEM70;NDUFB2;ATP5MC2;DAP3;COX5A;ATP5F1C;ATP5PB;NDUFB4;NDUFS7;COQ3;COX8A;NDUFB5;DMAC2L;UQCRFS1;COX10;NDUFB3;COQ9;NDUFV2;CYC1;MRPL48;TMEM126A;NDUFB6;OXA1L;NDUFS4;ATP5MC3;SLC25A3;ATP5MC1;ATP5PO;COQ2;COQ5;SLC25A48
transmembrane transporter complex	transmembrane transporter complex;transporter complex	NDUFB7;NDUFC1;NDUFB1;NDUFS6;NDUFA8;NDUFA5;UQCRH;NDUFA7;NDUFA1;NDUFB10;NDUFS2;NDUFS8;NDUFB8;UQCRC2;MICU2;NDUFAB1;NDUFV3;NDUFA4;NDUFB9;NDUFA9;NDUFV1;UQCRB;FOXRED1;UQCRC1;NDUFC2;DMAC1;NDUFB2;NDUFB4;NDUFS7;NDUFB5;UQCRFS1;NDUFB3;NDUFV2;CYC1;NDUFB6;NDUFS4;TIMM8A;TIMM8B
proton-transporting two-sector ATPase complex	proton-transporting two-sector ATPase complex;proton-transporting ATP synthase complex;ATPase complex;mitochondrial proton-transporting ATP synthase complex	ATP5ME;PPIF;ATP5F1A;ATP5MF;ATP5MG;ATP5F1B;ATP5PD;ATP5MK;ATP5MJ;ATP5PF;ATP5MC2;ATP5F1C;ATP5PB;DMAC2L;ATP5MC3;ATP5MC1;ATP5PO
