representative	grouped_terms	genes
immunoglobulin mediated immune response	immunoglobulin mediated immune response;B cell mediated immunity;lymphocyte mediated immunity;adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains;leukocyte mediated immunity	MLH1;C1QBP;FCER1A;IL13RA2;MPL;IGHV3-72;C4BPA;C1QC;IGLC6;IGHV3-48;ZP3;C3;IL21R;IGHV2-5;C1QB;IGHV1-3;IGHV3-49;IGHV5-10-1;IGHD;C8B;IGHV3-64;CLU;TFRC;C1QA;IGHV3-73;FCGR3A;C1RL;IGHV3-64D;IGHA1;CD74;IGHM;IGHV3-7;IGHV1-24;FCGR2B;C1S;SWAP70;MSH6;IGHV3-66;SERPING1;IGHV3-15;C9;IGLC2;IGHV1-58;IGHV3-53;IGHV4-28;IGHV3-43;IGHV3-20;IGHV1-69-2;IGLC3;CFI;IGHG3;IGHV3-30;IGHV3-21;IGHV3-74;IGHV6-1;IGHV1-69;C6;IGHV3-23;IGHG2;IGHV3-13;IGHV3-33;IGHV5-51;IGHV4-31;NBN;MSH2;IGLC1;IGHV2-26;C5;IGKC;IGHV1-69D;FCGR2C;IGHV3-11;IGHV4-61;IGHV4-59;IGHV1-45;IGHV1-18;IGHV4-34;IGHG1;IGHV4-39;CD40;ARRB2;MICB;CLEC4G;FBXO38;CD1C;HFE;HLA-DRB1;RSAD2;CLC;STX7;LEP;HLA-DRA;CD1D;ARG1;PRDX1;MEF2C;SEMA4A;CXCL13;C2;IGHV2-70;DHX36;CD70;SCIMP;EBAG9;F2;F2RL1;DDX1;GATA1;SNX4;STXBP1;TLR3;DNASE1L3;KIT;CTSG;RAB44;ELANE;AZU1
mitochondrial translation	mitochondrial translation;mitochondrial gene expression	MRPL20;MRPL30;MRPL47;METTL8;MRPS10;C1QBP;MRPL27;MRPS27;MRPL2;MRPL9;RMND1;RARS2;MRPL51;MRPL45;TSFM;LARS2;MRPS33;MRPL15;MRPS18C;IARS2;MRPL21;MRPL42;ALKBH1;WARS2;GFM1;MRPL40;FASTKD3;HARS1;MRPL3;MRPL22;RPUSD3;SARS2;MRPS18A;MRPS30;QRSL1;MRPL58;MALSU1;MRPL32;CDK5RAP1;MRPS35;DAP3;MRPS14;LRPPRC;MRPL13;TACO1;MRPL46;DARS2;GATB;MRPL19;MRPL44;MRPL16;MRPS31;MRPS18B;MTIF2;NSUN3;MRPS22;MRPS28;MRPL39;FASTKD2;MRPL48;MRPL1;GFM2;MTIF3;MRPS9;MTRES1;SUPV3L1;MTPAP;SLC25A33;TFB2M;MTERF1;FASTKD5;PNPT1;MTERF3;TRMT5;PRORP;TEFM;TRMT61B
secretory granule lumen	secretory granule lumen;cytoplasmic vesicle lumen;vesicle lumen	MVP;TRAPPC1;DSN1;NHLRC2;SDCBP;ALDOA;CTSD;FRK;VEGFA;RETN;A2M;VEGFC;GGH;FGB;F13A1;PSMD13;ACTR2;FGG;ILF2;GUSB;SPP2;TUBB4B;CSNK2B;ALB;MMP8;QPCT;GNS;KPNB1;TIMP2;OLA1;SRP14;C6orf120;PCYOX1L;PRG3;LGALS3BP;OSCAR;GLB1;GRN;CRISP3;PPBP;APP;EGF;SCG3;SRGN;EEF1A1;PSMD11;CEP290;GSN;PSMD3;SELENOP;CHIT1;KNG1;AGL;XRCC5;PSMD7;AGA;TIMP3;IDH1;NPC2;ERP44;PSMD14;CAMP;HP;VWF;STK11IP;C3;PSMA5;CAND1;GCA;HSPA8;TF;SERPINI1;RNASE2;CSTB;PF4;CCT8;LYZ;VCP;PRDX4;PRDX6;FUCA2;SCCPDH;CTSA;TCN1;CFP;DYNC1H1;CLU;ATG7;CLEC3B;ORM1;DERA;VPS13A;RNASET2;PLG;PSMB7;PSMB1;ACTN2;PENK;APOH;XRCC6;DDX3X;PSMD1;CPPED1;PSMA2;ACAA1;CFD;PGLYRP1;SERPING1;PSMD6;F5;FUCA1;PGAM1;GDI2;PSMC2;ADA2;AMPD3;ALDOC;ARG1;HEXB;EPX;CTSG;LTF;MMRN1;RNASE3;ACTR10;DEFA4;PRSS57;BPI;PRTN3;MPO;F8;DEFA3;ELANE;AZU1
primary lysosome	primary lysosome;azurophil granule	ABCA13;GAA;TRAPPC1;LAMP1;DSN1;SDCBP;GLIPR1;TMEM179B;FRK;RETN;GGH;ACTR2;GUSB;LPCAT1;STX3;TUBB4B;MANBA;GNS;CD68;PSAP;BST2;ANXA11;C6orf120;PRCP;GLB1;GRN;IRAG2;PSEN1;STOM;AGA;NPC2;STK11IP;C3;GCA;ATP8A1;RNASE2;CCT8;LYZ;VCP;PRDX6;FUCA2;CTSA;DYNC1H1;NCSTN;DNAJC13;RNASET2;STX7;PSMD1;CPPED1;LAMP2;CPNE3;CEACAM6;HEXA;FUCA1;GDI2;ADA2;ARG1;HEXB;CTSG;RAB44;RNASE3;ACTR10;CEACAM8;DEFA4;PRSS57;BPI;PRTN3;MPO;MGST1;VNN1;DEFA3;ELANE;AZU1
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit	MRPL20;MRPL30;MRPL47;MRPL27;MRPL2;MRPL9;MRPL51;MRPL45;MRPL15;MRPL21;MRPL42;MRPL40;MRPL3;MRPL22;MRPS18A;MRPS30;MRPL58;MRPL32;MRPL13;MRPL46;MRPL19;MRPL44;MRPL16;NSUN3;MRPL39;MRPL48;MRPL1
organellar ribosome	organellar ribosome;mitochondrial ribosome	MRPL20;MRPL30;MRPL47;MRPS10;MRPL27;MRPS27;MRPL2;MRPL9;MRPL51;MRPL45;MRPS33;MRPL15;MRPS18C;MRPL21;MRPL42;MRPL40;MRPL3;MRPL22;MRPS18A;MRPS30;MRPL58;MRPL32;MRPS35;DAP3;MRPS14;MRPL13;MRPL46;MRPL19;MRPL44;MRPL16;MRPS31;MRPS18B;NSUN3;MRPS22;MRPS28;MRPL39;MRPL48;MRPL1;MRPS9
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;aerobic electron transport chain;respiratory electron transport chain	NDUFB10;NDUFA1;CCNB1;NDUFC2;UQCR10;COA6;NDUFB5;COX6C;SNCA;UQCRB;NDUFA10;CYC1;NDUFV3;NDUFA6;SDHC;COX5A;COX7A2;UQCRHL;NDUFB6;NDUFB3;NDUFS3;COX7C;UQCRC1;NDUFA4;UQCRFS1P1;NDUFA12;COX7B;PINK1;NDUFA8;UQCRFS1;MIR210;GHITM;NDUFS4;NDUFC1;NDUFS5;DLD;NDUFA9;NDUFS2;SDHA;SDHB;NDUFS1;NDUFAF1;NDUFB4;COX15;UQCRC2;DNAJC15;SLC25A13;ETFB;ETFRF1;ETFDH;VPS54;ETFA
DNA-binding transcription repressor activity	DNA-binding transcription repressor activity;DNA-binding transcription repressor activity, RNA polymerase II-specific	THAP11;HES6;SKI;ZBTB7A;ZBTB5;HEY1;HIC2;HES2;ZNF219;TCF7;ZBTB49;HEY2;GZF1;SKIL;IRF8;FOXK2;KLF16;JDP2;FOXP4;RORC;SNAI3;TGIF2;OVOL2;TBX3;E4F1;CEBPB;FOXK1;NR2F6;OVOL1;PRDM2;HES5;HOXA2;MSX1;MYPOP;TGIF1;NACC1;SALL1;TCF3;PPARD;SNAI1;ZNF175;ZNF536;RELA;YY1;CC2D1A;NFKB1;FOXQ1;MXD1;NACC2;TCFL5;ZNF281;ZFHX3;HSF1;IRX3;SP5;ZNF668;CDX2;ZBTB34;TFAP2A;ZBTB4;CREB3L1;HINFP;PURB;GTF2IRD1;PAX6;TFAP2C;DEAF1;E2F6;IRF3;ZNF131;KCNIP3;BATF3;ZBTB2;MNX1;RARA;MAX;TCF21;ETV7;BACH2;CREM;GLIS3;NFE2L3;ZNF589;ZNF263;ZNF692;SOX6;FOXD3;ZBTB39;ZC3H8;TBX15;CUX2;ZNF205;ZBTB6;SCRT1;HEYL;MYT1L;HHEX;TWIST1;MZF1;HIVEP1;NR2F1;NKX6-1;MAFK;INSM2;FOXP3;ETV3;ZBTB7B;TBX18;HES1;PRRX1;MSC;NFIL3;MLXIPL;SAMD11;PROX1;SNAI2;ZNF750;FOXP1
RNA splicing, via transesterification reactions	RNA splicing, via transesterification reactions;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;mRNA splicing, via spliceosome	SNRPF;CLNS1A;KHDRBS1;LSM6;DHX8;RBM3;KHDRBS3;SRSF5;MAGOH;DHX9;NPM1;DHX15;RBMXL2;CWF19L2;HNRNPUL1;XAB2;CELF6;NCL;HNRNPU;ESRP2;PRMT7;BUD13;USP4;METTL14;MAGOHB;DDX20;CTNNBL1;PRMT5;CWF19L1;SNRPG;GPATCH1;GPKOW;PRPF19;SNRPB2;SNRNP40;SF3B3;HNRNPF;SRRM2;SYNCRIP;WBP4;PPIH;HNRNPR;RBFOX1;DDX46;SNRNP35;C1QBP;THRAP3;QKI;SYF2;FRG1;GEMIN5;SNRNP27;LSM5;IK;DHX16;SF3A1;SMU1;SFPQ;PPWD1;SF3B2;SON;CRNKL1;EFTUD2;HSPA8;PRPF40A;DDX1;PRDX6;SNRPC;HNRNPL;CWC22;ZCRB1;SNRPD3;PRPF8;SNRPA1;HNRNPUL2;HNRNPK;SNRPE;PLRG1;SF3A3;FRA10AC1;SF3B6;PSIP1;RBM47;SRRM1;LSM3;CWC15;HTATSF1;PRPF6;SAP18;RNPC3;RBM24;SRPK2;PUF60;SNRNP200;NOVA1;GEMIN4;SNW1;EXOSC10;CDC40;RSRC1;CWC27;ZRSR2;PRPF18;SLU7;CDC5L;SCAF11;GEMIN8;COIL;AQR;LARP7;MTREX
tetrapyrrole binding	tetrapyrrole binding;heme binding	SDHC;HBA2;GUCY1A2;CYP39A1;CYP51A1;HBB;CYP2R1;TBXAS1;CYP2C19;CYP2A13;MB;FECH;PGRMC1;CYP2A7;HBG1;LPO;TPO;CYP2J2;TCN1;HEBP1;MMUT;CYP3A4;PGRMC2;BACH1;STC2;EIF2AK1;NR1D1;HBA1;CYP7B1;CYP3A5;CYP11B2;CYP4Z1;LMBRD1;CYB5B;HMOX1;TCN2;CYP2C9;CYP3A43;PTGIS;CYP2C8;CYP4X1;CYP11A1;COX15;CYP8B1;CYP2B6;EPX;CYB5A;CYP2C18;TDO2;CYP17A1;HBG2;MPO;CYP11B1;CYP3A7
