representative	grouped_terms	genes
vacuolar membrane	vacuolar membrane;lysosomal membrane;lytic vacuole membrane	CHMP1B;CEACAM6;TMEM163;CHMP4A;CHMP2B;ABCD1;ABCB6;MMD;MAGT1;LRRC8E;SORT1;DRAM1;ENPP1;DEPTOR;MARCHF1;P2RX4;AP3D1;ATP6V1B2;RRAGC;VLDLR;GNA11;DRAM2;SNAP29;TLR9;CP;TMEM138;DEPDC5;EGF;GDAP2;KICS2;ATP6V0E1;CLCN4;ABHD6;SEH1L;ATP6V1G1;HPS6;SLC48A1;GNB1;CD63;SEC13;AP2A1;RPTOR;ANXA6;SLC49A4;SLC39A14;RUBCNL;ENPEP;ARRB1;MTOR;ATP13A2;YWHAB;MEAK7;GPR137B;LAPTM4A;GRN;GABARAPL1;TM9SF1;AP1B1;ATP6V0B;ATP6V0D2;SLC3A2;CTSD;DDOST;PIGR;LITAF;ATP6V1C2;CHMP2A;ATP6AP2;RAP1B;DPP4;AP3M1;LYN;HLA-DRB5;CTSA;TLR3;MAP1LC3C;SLC39A8;AP2M1;KXD1;KLC2;SH3GLB1;SPAG9;LAMTOR2;VPS11;WDR11;ATP11A;PLEKHM1;CPNE3;MFSD12;VNN1;RMC1;MANBA;STOM;TMEM199;SLC38A9;KIF5B;TM4SF5;RAB5C;VMP1;ATG12;CD68;NEU1;OSTM1;CHMP5;ARL8B;ZFYVE26;AP5M1;WDFY3;TMEM179B;LRRC8A;SLC29A3;RNF152;WDR41;DAGLB;VPS33A;VPS13B;NCSTN;TFE3;SLC17A5;SLC36A1;ATP6V1D;MAP1LC3B;TMEM74;ATP11B;ATP6V0C;SCARB2;LAMP2;CALCOCO2;SLC31A2;GNAQ;BORCS5;NSF;RRAGA;CLN3;RAB7A;LDLR;MCOLN3;PSEN1;ABCA3;MYO6;ATP6V1A;BST2;DNAJC13;DAB2;FLCN;MAP1LC3B2;CD164;ANKFY1;CHMP4B;VPS18;CLN5;MTMR2;ANXA2;ATG16L1;FNIP1;RHEB;M6PR;VAPA;SLC7A5;CLTA;CLTC;CEACAM8;ABCC11;RB1CC1;DTX3L;VPS13C;AP3B1;OCLN;SNX14;SLC15A3;AP2B1;ATP6V1F;SLC15A4;MFSD1;LPCAT1;GOPC;CLCN3;SPG11;HLA-H;SLC30A2;VPS35;ATP6V1H;ATP6V1E1;HSPA8;LRP2;JMY;RRAGD;AP1S3;SLC35F6;UBA1;VPS13A;SLC3A1;NPC1;LAMP3;CD74;LAPTM5;ATP6AP1;IFITM1;TMEM165;SLC30A3;ENTPD4;GNAI3;CD1D;C3AR1
amino acid activation	amino acid activation;tRNA aminoacylation;aminoacyl-tRNA ligase activity;tRNA aminoacylation for protein translation;ligase activity, forming carbon-oxygen bonds	GATC;AARS2;GATB;RARS1;EARS2;VARS1;YARS1;PARS2;FARS2;HARS1;LARS2;DARS1;FARSA;AASDH;TARS2;AARS1;KARS1;GARS1;MARS1;NARS2;HARS2;NARS1;SARS1;IARS1;QRSL1;WARS2;LARS1;FARSB;YARS2;MARS2;DARS2;AARSD1;EPRS1
sister chromatid segregation	sister chromatid segregation;mitotic sister chromatid segregation;nuclear chromosome segregation	EML4;ABRAXAS1;TENT4A;BCL7A;KIF14;NUSAP1;DLGAP5;CHMP1B;NCAPD3;SPICE1;CHMP4A;CHAMP1;CHMP2B;KIF18B;ACTL6A;KIF18A;NCAPH;NDC80;SPAG5;CDT1;ZNF207;TOP2A;CDCA8;AKAP8;SEH1L;CDCA5;CENPE;INO80;ARID2;ANAPC7;DPF3;UBE2C;PPP2R1A;CDC23;DYNC1LI1;SMARCC1;SKA3;KAT5;SKA1;CDC27;HSPA1A;INCENP;MAPK15;SPDL1;CDC20;PBRM1;CHMP2A;KATNB1;SPC24;BECN1;WAPL;KIF11;UHRF1;BAZ1B;SMARCB1;KIF3B;CCNB1;HSPA1B;BUB1B;KIF23;RACGAP1;SMC2;KIF4A;STAG2;MAD2L1BP;KIFC1;PINX1;TPR;CHMP5;TTK;ZWINT;STAG1;ANKRD53;DRG1;ACTB;BUB3;MAD2L1;KPNB1;CDK1;IK;RAN;MAPRE1;TUBG1;CDC6;ATM;CDK5RAP2;TRIP13;CLASP2;RRS1;MYBL2;MIS12;NCAPG;NUDC;ZW10;RB1;BCCIP;ABRAXAS2;SMC3;DCTN2;CHMP4B;BRD7;KIF2A;RAB11A;ANAPC1;LCMT1;CUL3;SMC4;CEP192;SMARCA5;SMARCA4;CEP97;RIOK2;ESPL1;HNRNPU;NIPBL;MAP3K20;SMC1A;SGO1;PTTG1;CCNE2;FANCD2;MLH1;ACTR2;ECT2;SYCE3;RNF212;NDC1;CCNE1;ACTR3;DCAF13;TTL;WASHC5;MSH4;DYNC1H1
RNA splicing, via transesterification reactions	RNA splicing, via transesterification reactions;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;mRNA splicing, via spliceosome	PSIP1;DDX41;CELF6;SNRPD2;RBM19;RBM42;DHX8;RBM44;SNRPG;PRPF38A;SNRPD1;SF3B6;PRPF6;LSM1;SNRPGP15;SAP18;SRPK2;SNRNP40;HNRNPR;CDC5L;SRPK3;LARP7;SF3B3;TFIP11;DDX20;RBM7;BCAS2;PRPF40B;USP4;REST;SNRNP27;JMJD6;NUP98;HNRNPA3;SDE2;SMU1;RNPC3;MPHOSPH10;FRA10AC1;HNRNPA1;SNU13;STRAP;SYF2;SNRNP200;RBM14;HNRNPL;SF3A1;WDR77;USP39;DBR1;SLU7;SF3B2;RBPMS;GPKOW;SNRPB2;DHX15;UPF1;WTAP;RBM15;NCL;MAGOHB;DCPS;RNF113A;SNRPE;UPF3B;EFTUD2;DDX1;SART3;HNRNPK;SNRPA1;PRPF18;SETX;ZMAT2;SYNCRIP;HNRNPUL1;PRPF19;NPM1;BUD31;EIF4A3;KHDRBS1;GEMIN2;IK;HNRNPH3;NCBP2;HNRNPA2B1;YTHDC1;DHX9;SCNM1;PABPC1;QKI;GEMIN7;EXOSC10;CWC22;CWC27;HTATSF1;SF3A3;RBPMS2;PRPF8;RBMXL1;PRMT5;PRPF40A;SNW1;TGS1;SNIP1;CRNKL1;C1QBP;GEMIN5;RBM47;KHDRBS3;AQR;SRPK1;MTREX;GEMIN8;SRRM1;NCBP1;RSRC1;HNRNPC;SRSF12;DYRK1A;SCAF11;HNRNPUL2;MFAP1;THRAP3;HNRNPU;HSPA8;RBM24;CDC40;PRPF4;ZRSR2
response to topologically incorrect protein	response to topologically incorrect protein;response to unfolded protein	UBXN4;HSPB1;HSPA1A;STT3B;TM7SF3;MANF;EIF2AK2;DERL2;HERPUD2;OS9;ERP44;WFS1;PRKN;OPTN;DERL1;CREB3;CCND1;DAXX;DNAJB14;ERO1A;HSPA1L;DNAJB2;PPP1R15A;HSPA5;ERN1;EIF2AK3;RPAP2;BFAR;MFN2;MBTPS2;ATF3;ATF6;CTH;COPS5;EIF2S1;HSPA4L;AKIRIN2;DNAJA1;DDIT3;HERPUD1;DERL3;CUL3;PPP1R15B;HSPB8;CREB3L1;DNAJB1;RHBDD1;BAG3;HSPA4;HSPE1;DNAJB4;STC2;HSPA8;HSP90AB1;ERMP1;HSPH1;HSP90AA1;SERPINH1;HSPD1;HSPA6
regulation of translation	regulation of translation;regulation of amide metabolic process	EIF2B4;CNBP;HNRNPD;MPV17L2;METTL8;RPS27L;CYP1B1;UHMK1;IGF2BP2;YTHDF3;LARP4B;TACO1;IL6;GAPDH;ZNF706;SHMT2;PUS7;EIF2AK4;RPL26;EIF4G1;TNRC6B;TMED2;CTIF;CYFIP1;DHX36;PUM1;MTOR;METAP1;KLHL25;EIF4EBP1;EIF3K;EIF2B5;HSPB1;NGDN;ELP3;EIF2AK2;CNOT10;YBX1;MALSU1;KRT17;ABCE1;WFS1;GSPT1;GIGYF2;EIF5AL1;PUM3;METTL18;UQCC2;MTPN;PA2G4;OGT;EIF6;PAIP1;IREB2;CALR;UPF1;EIF5B;CSDE1;DDX6;NCL;NSUN5;TYMS;UPF3B;DDX1;EIF3D;EIF5;MRPL13;PURA;SYNCRIP;TPR;CSNK2A1;PPP1R15A;EIF2A;ELP1;NPM1;EIF2AK3;APP;EIF4A3;SERBP1;SAMD4B;EIF3E;POLR2G;KHDRBS1;TRUB2;SOX4;FOXO3;NCBP2;EIF3C;PRR16;EIF4G2;SECISBP2L;ALKBH1;LARP4;FASTKD3;TRAP1;DHX9;CPEB3;AIRE;TSFM;PABPC1;ETF1;QKI;RPS6KA3;TRMT10C;EIF3H;EIF4E;AARS1;EIF4G3;EIF2S1;BZW2;CPEB4;PKM;LARP6;ZFP36L2;CNOT1;DHX29;ZCCHC4;C1QBP;GEMIN5;NAT10;EIF2B2;EIF4A2;PPP1R15B;MSI2;SARS1;AGO2;MTIF2;FASTKD2;SSB;RPUSD3;LARP1;NCBP1;PRKDC;OGFOD1;PTCD3;HNRNPU;GUF1;HABP4;EIF4E3;RBM24;CAPRIN1;LRPPRC;EPRS1;FXR1;ITGA2;DDX3X;RPS4X;CLU;PDK4;EFNA1;RPTOR;PDK1;PDK3;ENPP7;TNFRSF1A;PRNP;TIGAR;ORMDL2;SCARB2;TP53;PICALM;SPHK1;SLC2A13;ROCK1;RTN3;SLC7A11;PGAM1;ROCK2;CHRNA7
defense response to virus	defense response to virus;response to virus	TLR9;IL6;ZMYND11;BNIP3;EIF2AK4;BNIP3L;CD207;DDX60L;FOXP3;ABCF3;APOBEC3B;PPM1B;TRIM27;TRAF3IP2;UNC13D;DEFA3;TRIM35;SETD2;IKBKE;STAT2;DHX36;PCBP2;TBK1;EIF2AK2;NT5C3A;UBE2N;BECN1;CASP1;TLR3;ZC3HAV1;TRIM5;DHX15;GBP3;PDE12;USP18;POLR3B;DDX1;POLR3D;MUL1;POLR3E;TRIM38;TRIM21;ATG12;AZI2;ISG20;APOBEC3F;TRIM31;FADD;RNASE2;GBP2;PARP9;CRCP;POLR3K;OAS1;UBL7;ATG7;DHX9;AIMP1;SERINC3;TRIM25;BST2;DUS2;ZNFX1;ATG16L1;NT5C2;NCBP3;POLR3C;MICB;DTX3L;C1QBP;TRIM26;RIOK3;RTP4;TRIM6;POLR3G;GBP1;TTC4;MAP3K14;TRIM32;TOMM70;NCBP1;NDUFAF4;EXOSC5;CLPB;DDX60;MID2;IFIT5;IFIH1;OAS3;HSP90AA1;HERC5;IFIT2;MX1;IFIT1;OAS2;IFIT3;CXCL10;IFI44L;OASL;RSAD2;IFI6;IFI27;ISG15;BANF1;BAX;CLU;CCL11;HMGA2;APOB;MAPK14;HSPB1;EXT1;GBF1;NFKB1;LGALS9;ENO1;CALR;IKBKG;HNRNPUL1;JAK1;XPR1;CCT5;GSDME;IFI44;DUOX2;ITGB6;DDX3X
nucleocytoplasmic transport	nucleocytoplasmic transport;nuclear transport	UBE2I;CPSF6;IPO4;PHAX;IPO13;CHTOP;SEH1L;KPNA4;THOC7;PRKAG1;TRAF3IP2;AHCTF1;SEC13;SETD2;CBLB;STK4;MAPK14;MED1;KPNA6;LTV1;RAE1;FERMT1;ANP32A;DNAJC27;CDK5;NUTF2;XPO6;NUP133;EMD;NUP98;NUP62CL;HNRNPA1;ABCE1;NUP58;APPL1;UPF2;YWHAE;EIF6;KPNA3;CALR;PPP3CA;UPF1;ECT2;SP100;MAGOHB;NEAT1;CHCHD4;NEMF;NOL6;ANP32B;RANBP6;RPAIN;NUP160;TPR;NUP42;NUP155;SNUPN;NPM1;NOP9;HIKESHI;PTPN11;IPO5;EIF4A3;SMG6;KHDRBS1;MCM3AP;KPNB1;CDK1;E2F3;RAN;TNPO1;NCBP2;SPRN;KPNA7;HNRNPA2B1;NDC1;NUP50;KPNA2;NUP88;YTHDC1;TP53;NUP93;IPO11;DHX9;MDM2;AGFG1;XPO5;PSEN1;EIF4E;XPO7;NUP205;AKIRIN2;XPO4;NUP153;IPO7;TXN;UBR5;NCBP3;NF1;DDX19A;SMG7;RANBP2;WASHC4;FAM53C;NUP37;SSB;HTATIP2;SPG11;AHCYL1;CSE1L;TNPO3;NCBP1;RSRC1;XPOT;BAG3;RIOK2;WNK1;DUSP16;HSPA9;HSP90AA1;SQSTM1;XPO1;IFI27
protein-RNA complex organization	protein-RNA complex organization;protein-RNA complex assembly	SNRPC;RPL23A;COIL;SF3B4;FAF2;RPS27L;ERAL1;DYRK3;PSIP1;CELF6;SNRPD2;CPSF6;DHX8;SNRPG;VCP;SNRPD1;SF3B6;PPAN;PRPF6;SNRPGP15;SRPK2;SRPK3;EIF2S2;ZFAND1;EIF3M;DDX28;SF3B3;EIF3K;TFIP11;DDX20;RAMAC;USP4;TAF9;SNU13;STRAP;SNRNP200;EIF3J;SF3A1;WDR77;USP39;BRIX1;BOP1;SLU7;SF3B2;EIF6;KLC1;SNRPB2;NUDT21;NUFIP1;SNRPE;DDX1;NAF1;EIF3D;SART3;EIF5;SNRPA1;MCTS1;PRPF18;SETX;TRIM21;KIF5B;ZNHIT3;PRPF19;EIF3A;NLE1;EIF3E;GEMIN2;EIF3C;DICER1;ATM;YTHDC1;RRS1;DHX9;GEMIN7;EIF3H;SHQ1;HTATSF1;SF3A3;RUVBL2;PRPF8;PRMT5;DHX29;TGS1;SNIP1;CRNKL1;GEMIN5;RUVBL1;AGO2;RPF2;SRPK1;FASTKD2;GEMIN8;PTGES3;NCBP1;PRKDC;SRSF12;SCAF11;RAMACL;HSP90AB1;CDC73;ZRSR2;HSP90AA1;EIF2S3;NOP2;DHX30;ZNHIT6;MRM2;EIF3B;PRKRA;DDX46
ubiquitin-like protein ligase binding	ubiquitin-like protein ligase binding;ubiquitin protein ligase binding	MAP3K7;HM13;UBE2C;SCAMP3;IKBKE;STAT2;CTNNB1;RPA2;PCBP2;ARRB1;JUN;ACTG1;UBE2D2;SPOPL;AMBRA1;HSPA1A;GABARAPL1;PSMA3;CUL1;BAG5;RHOBTB3;WFS1;PRKN;TNFRSF1B;UBE2N;BECN1;LYN;PARP1;DERL1;YWHAE;SLC25A5;SMAD5;UBASH3B;MAP1LC3C;PA2G4;CCNB1;HSPA1B;DAXX;TUBA1B;GLMN;UBE2L6;CALR;YWHAZ;HSPA1L;GGN;USP13;UBE2D1;MUL1;TRIP4;UBE2T;IKBKG;BCL10;TRAF2;HSPA5;UBE2A;MID1;EGFR;NDUFS2;JAK1;SNX9;PARP9;MFN2;MAP1LC3B;PRR7;ATP6V0C;BLZF1;PPARGC1A;CUL4B;TP53;HERC2;RRAGA;MDM2;FOXO1;RNF34;PSMD1;RB1;CD40;PRKACB;STAM;MAP1LC3B2;ERLIN2;RNF40;DNAJA1;CCT2;TRIB3;BAG2;CUL2;ARIH1;DTX3L;FAF1;CUL3;HLTF;POU5F1;ABCB1;UBC;TCP1;SHPRH;DNM1L;HSPA8;HSPA9;RNF20;HSP90AB1;UCHL1;LRPPRC;CACYBP;HSP90AA1;USP25;HSPD1;SQSTM1;ISG15
