representative	grouped_terms	genes
mitochondrial translation	mitochondrial translation;mitochondrial gene expression	MRPL33;MTIF2;TSFM;UQCC2;NDUFA7;QRSL1;MRPL21;CHCHD1;MTG1;TRUB2;MRPL20;MRPL18;MRPL28;MRPL57;MTIF3;MPV17L2;AARS2;CDK5RAP1;MRPS2;LRPPRC;PTCD3;MRPL40;FASTKD3;IARS2;RPUSD3;MRPS12;GFM2;GATB;MRPS18A;DARS2;MRPL50;MRPL16;C1QBP;MRPL36;TACO1;MRPL12;MRPS24;MALSU1;MRPL2;TUFM;MRPS27;MRPS6;MRPL22;MRPS5;MRPS15;MRPS11;TRMT10C;TARS2;MRPS33;MRPL51;MRPL19;MRPL44;LARS2;GFM1;MRPS31;EARS2;MRPL4;MTRF1L;MRPS7;GARS1;SARS2;MRPS17;MRPL38;FASTKD2;MRPS18C;MRPL27;COA3;MRPL46;RMND1;MRPL32;MRPS18B;MRPL43;MRPL58;MRPL49;MRPL15;MRPL47;MRPS30;MRPL45;MRPL3;MRPS16;MRPS14;MRPL48;MRPL13;MRPS9;MRPL39;MRPL24;MRPS22;MRPL35;MRPL10;MRPS35;WARS2;MRPL30;DAP3;MRPS28;MRPS10;MRPL1;MRPL37;YARS2;MRPL9;PNPT1;TRNT1;FASTKD1;TFAM;PRORP;TFB2M;TBRG4;MTRES1;TRIT1;MTPAP;MTERF1;TEFM;HSD17B10;MTERF2;TFB1M
organellar ribosome	organellar ribosome;mitochondrial ribosome	MRPL21;CHCHD1;MTG1;MRPL20;MRPL18;MRPL28;MRPL57;NSUN4;MPV17L2;MRPS2;PTCD3;MRPL40;MRPS12;MRPS18A;MRPL50;MRPL16;MRPL36;MRPL12;MRPS24;MRPL2;MRPS27;MRPS6;MRPL22;MRPS5;MRPS15;MRPS11;MRPS33;MRPL51;MRPL19;MRPL44;MRPS31;MRPL4;MRPS7;MRPS17;MRPL38;MRPS18C;MRPL27;MRPL46;MRPL32;MRPS18B;MRPL43;MRPL58;MRPL49;MRPL15;MRPL47;MRPS30;MRPL45;MRPL3;MRPS16;MRPS14;MRPL48;MRPL13;MRPS9;MRPL39;MRPL24;MRPS22;MRPL35;MRPL10;MRPS35;MRPL30;DAP3;MRPS28;MRPS10;MRPL1;MRPL37;MRPL9
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	NDUFS8;NDUFA11;NDUFA3;LYRM2;ECSIT;NDUFA1;NDUFAF2;NDUFB4;NDUFAF5;TMEM186;NDUFA8;ACAD9;TIMM21;NDUFB11;NDUFAF4;COA1;NDUFS1;NDUFA5;NDUFB10;NDUFA13;NUBPL;DMAC2;NDUFS7;NDUFA12;NDUFS3;NDUFS5;NDUFB9;NDUFB6;FOXRED1;NDUFB3;NDUFB8;NDUFAB1;BCS1L;NDUFA6;NDUFAF1;NDUFB2;NDUFAF6;NDUFA10;NDUFB5;DMAC1;NDUFA9;NDUFC2;NDUFAF7;TMEM126A;NDUFS2;NDUFS4;TMEM126B;OXA1L
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process	NDUFB7;SDHA;ATP5F1E;NDUFA7;NDUFS8;ATPSCKMT;NDUFA11;NDUFA3;NDUFV3;NDUFA1;ATP5MK;NDUFB4;NDUFA8;NDUFB11;NDUFS6;STOML2;ATP5F1EP2;ATP5MG;NDUFS1;ATP5MF;ATP5PD;NDUFA5;NDUFB10;ATP5PF;DNAJC30;NDUFA13;ATP5F1A;ATP5ME;ATP5MJ;NDUFS7;NDUFA12;NDUFS3;NDUFS5;NDUFB9;NDUFB6;NDUFB3;NDUFB8;NDUFAB1;NDUFA6;SDHD;NDUFB2;SDHB;NDUFV2;NDUFA10;NDUFV1;ATP5F1C;SDHC;NDUFB5;NDUFA9;NDUFC2;ATP5F1B;ATP5MC2;ATP5PB;ATP5MC3;ATP5PO;NDUFS2;ATP5MC1;NDUFS4;NUDT2;COX11;VCP;PINK1;PARP1;ALDOA;PPARGC1A;PRKAG2;DMAC2L;IMPDH2;NME5;NME2P1;NME1;NME7;ADK;AK1;AK3
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit	MRPL20;MRPL18;MRPL28;MRPL57;NSUN4;MPV17L2;MRPL40;MRPS18A;MRPL50;MRPL16;MRPL36;MRPL12;MRPL2;MRPL22;MRPL51;MRPL19;MRPL44;MRPL4;MRPL38;MRPL27;MRPL46;MRPL32;MRPL43;MRPL58;MRPL49;MRPL15;MRPL47;MRPS30;MRPL45;MRPL3;MRPL48;MRPL13;MRPL39;MRPL24;MRPL35;MRPL10;MRPL30;MRPL1;MRPL37;MRPL9
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	NDUFA7;NDUFS8;NDUFA11;NDUFA3;NDUFV3;NDUFA1;NDUFB4;NDUFA8;NDUFB11;NDUFS6;NDUFS1;NDUFA5;NDUFA4;NDUFB10;NDUFA13;DMAC2;NDUFS7;NDUFA12;NDUFS3;NDUFS5;NDUFB9;NDUFB6;FOXRED1;NDUFB3;NDUFB8;NDUFAB1;NDUFA6;NDUFAF1;NDUFB2;NDUFV2;NDUFA10;NDUFV1;NDUFB5;DMAC1;NDUFA9;NDUFC2;NDUFS2;NDUFS4
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds	UQCC2;NDUFA7;ME3;COX5B;NDUFS8;UQCR11;SIRT3;IDH1;ATPSCKMT;BNIP3;NDUFA11;IDE;NDUFA3;NDUFV3;OGDH;NDUFA1;CCNB1;NDUFB4;COX15;NDUFA8;SLC25A23;NDUFB11;VCP;PINK1;IREB2;NDUFS6;STOML2;MFN2;C2orf69;ATP5F1EP2;ATP5MG;NIPSNAP2;NDUFS1;ATP5MF;ATP5PD;NDUFA5;NDUFA4;UQCRB;NDUFB10;ATP5PF;DNAJC30;NDUFA13;PARK7;COX7A2;COX7C;ATP5F1A;ACO1;ATP5ME;COX7B;NNT;UQCRH;NDUFS7;NDUFA12;NDUFS3;PDHA1;NDUFS5;NDUFB9;NDUFB6;NDUFB3;UQCRC1;NDUFB8;NDUFAB1;COX4I1;DNAJC15;NDUFA6;MDH1;COX8A;CS;PPIF;COQ9;TEFM;UQCRHL;GHITM;COX5A;DLD;SDHD;NDUFAF1;NDUFB2;CYC1;UQCRC2;PDHB;SDHB;UQCRFS1;COX7A2L;SUCLA2;COX6B1;FH;NDUFV2;SUCLG1;NDUFA10;IDH3G;NDUFV1;CYCS;ATP5F1C;SDHC;NDUFB5;DLST;NDUFA9;COA6;IDH2;MDH2;NDUFC2;ATP5F1B;ATP5PB;ADSL;SLC25A51;SUCLG2;COX10;ATP5PO;CHCHD2;AFG1L;MDH1B;NDUFS2;IDH3B;NDUFS4;HIF1A;OXA1L;IFNLR1;ATP5F1E;PNPT1;OPN3;GPD1;SDHAF4;ETFRF1;ETFB;CISD1;COQ10B;LYRM7;CHCHD5;ETFA;PRDM16;PPARGC1A;SOD2;IMMP2L;TRAP1;NR4A3;POMC;STK40;PPP1R3B;PPP1R3E;MT3;PYGM;PPP1R1A;PGM2;PPP1R3D;PFKM;ACADM;PPP1CA;PHKB;AKT2;PPP1CC;PPP1R3C;EPM2AIP1;NHLRC1;GSK3B;GYS1;GYG1;PHKA1;STBD1;GAA;PRKAG2;UGP2;GBE1
aminoacyl-tRNA ligase activity	aminoacyl-tRNA ligase activity;tRNA aminoacylation for protein translation;ligase activity, forming carbon-oxygen bonds;amino acid activation;tRNA aminoacylation	HARS2;AARS2;LRRC47;FARSB;IARS2;DARS2;DARS1;SARS1;KARS1;MARS1;FARSA;TARS2;LARS2;EARS2;GARS1;SARS2;EPRS1;MARS2;NARS1;NARS2;AARSD1;TARS1;FARS2;IARS1;WARS2;RARS1;YARS2;GATB
respirasome	respirasome;mitochondrial respirasome;respiratory chain complex	COX7A1;UQCRQ;NDUFB1;NDUFC1;COX6C;RAB5IF;UQCR10;NDUFB7;SDHA;NDUFA7;COX5B;NDUFS8;UQCR11;NDUFA11;NDUFA3;NDUFV3;NDUFA1;HIGD2A;NDUFB4;COX15;NDUFA8;NDUFB11;NDUFS6;C2orf69;NDUFS1;TTC19;NDUFA5;NDUFA4;UQCRB;NDUFB10;NDUFA13;COX7A2;COX7C;COX7B;DMAC2;NNT;UQCRH;NDUFS7;NDUFA12;NDUFS3;NDUFS5;NDUFB9;NDUFB6;FOXRED1;NDUFB3;UQCRC1;NDUFB8;NDUFAB1;COX4I1;BCS1L;NDUFA6;COX8A;HIGD1A;UQCRHL;COX5A;SDHD;NDUFAF1;NDUFB2;CYC1;UQCRC2;SDHB;UQCRFS1;COX7A2L;COX6B1;STMP1;NDUFV2;NDUFA10;NDUFV1;CYCS;SDHC;NDUFB5;DMAC1;NDUFA9;COA6;NDUFC2;NDUFS2;NDUFS4
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;respiratory electron transport chain;electron transport chain	NDUFA7;COX5B;NDUFS8;UQCR11;NDUFA3;NDUFV3;NDUFA1;NDUFB4;COX15;NDUFA8;PINK1;NDUFS6;NDUFS1;NDUFA5;NDUFA4;UQCRB;NDUFB10;PARK7;COX7A2;COX7C;COX7B;UQCRH;NDUFS7;NDUFS3;NDUFS5;NDUFB9;NDUFB6;NDUFB3;UQCRC1;NDUFB8;NDUFAB1;COX4I1;DNAJC15;NDUFA6;COX8A;COQ9;UQCRHL;COX5A;DLD;SDHD;NDUFAF1;NDUFB2;CYC1;UQCRC2;SDHB;UQCRFS1;COX7A2L;COX6B1;NDUFV2;NDUFA10;NDUFV1;CYCS;SDHC;NDUFB5;NDUFA9;NDUFC2;SLC25A51;AFG1L;NDUFS2;NDUFS4;CCNB1;NDUFA12;GHITM;COA6;CHCHD2;GPD1;ETFRF1;ETFB;ETFA;PPARGC1A;SOD2;IMMP2L;STEAP4;MAOB;ALDH2;COX11;ME2;FDX2;ADH5;GLRX2;POR;FDX1;CIAPIN1;QDPR;AKR1B1;IDH3B
